iter	Passed	Remaining
0	26	40454
1	46	35201
2	63	31777
3	80	30146
4	98	29325
5	116	29028
6	134	28600
7	151	28229
8	168	27989
9	186	27730
10	205	27817
11	229	28481
12	246	28144
13	262	27858
14	279	27623
15	303	28180
16	320	27922
17	336	27697
18	355	27705
19	376	27828
20	392	27675
21	409	27508
22	426	27403
23	448	27604
24	466	27497
25	484	27450
26	501	27340
27	518	27253
28	535	27185
29	552	27094
30	571	27075
31	587	26947
32	605	26904
33	622	26833
34	639	26769
35	661	26885
36	677	26790
37	694	26721
38	710	26604
39	729	26631
40	751	26743
41	768	26670
42	785	26605
43	804	26626
44	821	26555
45	844	26678
46	859	26583
47	876	26525
48	894	26496
49	912	26471
50	934	26546
51	952	26512
52	974	26595
53	991	26553
54	1008	26492
55	1028	26529
56	1045	26475
57	1062	26424
58	1083	26465
59	1100	26401
60	1120	26431
61	1136	26365
62	1153	26302
63	1169	26249
64	1190	26272
65	1215	26398
66	1232	26360
67	1248	26294
68	1269	26323
69	1285	26269
70	1304	26257
71	1325	26294
72	1343	26258
73	1361	26229
74	1377	26165
75	1395	26145
76	1413	26130
77	1431	26106
78	1453	26140
79	1475	26189
80	1501	26308
81	1517	26249
82	1534	26201
83	1557	26250
84	1575	26221
85	1592	26175
86	1608	26121
87	1630	26156
88	1651	26180
89	1667	26129
90	1687	26133
91	1705	26097
92	1721	26048
93	1740	26031
94	1755	25968
95	1777	26002
96	1794	25952
97	1811	25912
98	1829	25890
99	1847	25861
100	1866	25847
101	1884	25833
102	1902	25805
103	1923	25819
104	1939	25769
105	1959	25771
106	1976	25730
107	1993	25695
108	2010	25655
109	2029	25641
110	2050	25661
111	2068	25636
112	2085	25598
113	2103	25574
114	2120	25541
115	2143	25576
116	2161	25546
117	2183	25571
118	2204	25578
119	2220	25539
120	2240	25535
121	2258	25514
122	2277	25497
123	2293	25454
124	2312	25441
125	2332	25432
126	2348	25389
127	2367	25374
128	2386	25360
129	2401	25313
130	2422	25311
131	2438	25267
132	2456	25250
133	2472	25201
134	2487	25155
135	2506	25143
136	2527	25143
137	2545	25123
138	2562	25091
139	2578	25047
140	2596	25029
141	2618	25041
142	2635	25005
143	2654	24993
144	2671	24962
145	2690	24951
146	2711	24959
147	2727	24918
148	2744	24883
149	2763	24868
150	2780	24844
151	2798	24821
152	2817	24805
153	2833	24769
154	2852	24755
155	2871	24740
156	2888	24707
157	2904	24666
158	2925	24671
159	2949	24702
160	2968	24686
161	2984	24650
162	3005	24650
163	3021	24612
164	3039	24589
165	3056	24561
166	3072	24522
167	3088	24484
168	3109	24489
169	3129	24481
170	3148	24468
171	3165	24442
172	3182	24414
173	3200	24391
174	3218	24368
175	3235	24341
176	3255	24335
177	3276	24331
178	3296	24330
179	3315	24310
180	3332	24288
181	3349	24257
182	3367	24233
183	3386	24220
184	3402	24184
185	3420	24161
186	3437	24133
187	3454	24106
188	3469	24069
189	3487	24045
190	3506	24030
191	3522	23994
192	3540	23976
193	3556	23938
194	3574	23924
195	3594	23911
196	3611	23887
197	3628	23858
198	3644	23824
199	3662	23807
200	3684	23811
201	3705	23813
202	3724	23795
203	3740	23764
204	3757	23738
205	3777	23730
206	3795	23706
207	3811	23675
208	3829	23656
209	3845	23623
210	3865	23617
211	3882	23588
212	3899	23562
213	3916	23534
214	3933	23509
215	3950	23485
216	3968	23460
217	3985	23436
218	4006	23435
219	4028	23436
220	4045	23415
221	4062	23389
222	4083	23386
223	4099	23354
224	4116	23327
225	4134	23308
226	4156	23307
227	4171	23275
228	4188	23245
229	4205	23223
230	4225	23214
231	4246	23210
232	4263	23184
233	4282	23169
234	4301	23152
235	4324	23161
236	4344	23152
237	4366	23153
238	4384	23135
239	4404	23125
240	4426	23124
241	4442	23094
242	4459	23067
243	4477	23046
244	4497	23040
245	4515	23019
246	4535	23008
247	4552	22980
248	4569	22956
249	4586	22933
250	4607	22927
251	4624	22904
252	4645	22897
253	4663	22876
254	4682	22859
255	4701	22846
256	4717	22818
257	4734	22791
258	4750	22764
259	4767	22736
260	4785	22716
261	4805	22707
262	4822	22683
263	4839	22657
264	4856	22633
265	4873	22610
266	4889	22579
267	4906	22553
268	4924	22533
269	4939	22503
270	4958	22485
271	4976	22465
