model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
logistic_sgd,Benign,7000,0.0,0.0,0.0,0.011,0.0,0.0,0,6923,77,0
logistic_sgd,DDoS,4874,1.0,0.9928190398030365,0.9963965819005457,0.0,0.0,1.0,4839,0,0,35
logistic_sgd,DoS,1887,1.0,0.9809220985691574,0.9903691813804173,0.0,0.0,1.0,1851,0,0,36
logistic_sgd,Malformed,9,1.0,0.3333333333333333,0.5,0.0,0.0,1.0,3,0,0,6
logistic_sgd,Other,115,1.0,1.0,1.0,0.0,0.0,1.0,115,0,0,0
logistic_sgd,Recon,108,1.0,0.9074074074074074,0.9514563106796117,0.0,0.0,1.0,98,0,0,10
logistic_sgd,Spoofing,7,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,7
tree_stump,Benign,7000,0.0,0.0,0.0,0.22242857142857142,0.0,0.0,0,5443,1557,0
tree_stump,DDoS,4874,1.0,0.9554780467788264,0.9772321896967789,0.0,0.0,1.0,4657,0,0,217
tree_stump,DoS,1887,1.0,0.9348171701112877,0.9663105998356615,0.0,0.0,1.0,1764,0,0,123
tree_stump,Malformed,9,1.0,0.1111111111111111,0.19999999999999998,0.0,0.0,1.0,1,0,0,8
tree_stump,Other,115,1.0,1.0,1.0,0.0,0.0,1.0,115,0,0,0
tree_stump,Recon,108,1.0,0.7037037037037037,0.8260869565217391,0.0,0.0,1.0,76,0,0,32
tree_stump,Spoofing,7,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,7
adaboost_stumps,Benign,7000,0.0,0.0,0.0,0.045714285714285714,0.0,0.0,0,6680,320,0
adaboost_stumps,DDoS,4874,1.0,0.9926138695116947,0.9962932454695224,0.0,0.0,1.0,4838,0,0,36
adaboost_stumps,DoS,1887,1.0,0.9872813990461049,0.9936,0.0,0.0,1.0,1863,0,0,24
adaboost_stumps,Malformed,9,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,9
adaboost_stumps,Other,115,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,115
adaboost_stumps,Recon,108,1.0,0.8611111111111112,0.9253731343283582,0.0,0.0,1.0,93,0,0,15
adaboost_stumps,Spoofing,7,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,7
mlp_1hidden,Benign,7000,0.0,0.0,0.0,0.021714285714285714,0.0,0.0,0,6848,152,0
mlp_1hidden,DDoS,4874,1.0,0.9987689782519491,0.9993841100390064,0.0,0.0,1.0,4868,0,0,6
mlp_1hidden,DoS,1887,1.0,0.9978802331743508,0.9989389920424403,0.0,0.0,1.0,1883,0,0,4
mlp_1hidden,Malformed,9,1.0,0.3333333333333333,0.5,0.0,0.0,1.0,3,0,0,6
mlp_1hidden,Other,115,1.0,1.0,1.0,0.0,0.0,1.0,115,0,0,0
mlp_1hidden,Recon,108,1.0,0.9166666666666666,0.9565217391304348,0.0,0.0,1.0,99,0,0,9
mlp_1hidden,Spoofing,7,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,7
