model,protocol_hint,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
logistic_sgd,bluetooth,1029,0.9829059829059829,1.0,0.9913793103448275,0.002188183807439825,0.9994481971268195,0.9949362356055603,115,912,2,0
logistic_sgd,mqtt,261,1.0,0.7586206896551724,0.8627450980392156,0.0,0.0,1.0,198,0,0,63
logistic_sgd,wifi,12710,0.98875224955009,0.9953200483091788,0.9920252783629251,0.012323365100230035,0.9980921357086272,0.9979576754195953,6593,6011,75,31
tree_stump,bluetooth,1029,0.11175898931000972,1.0,0.20104895104895104,1.0,0.5,1.0,115,0,914,0
tree_stump,mqtt,261,1.0,0.06513409961685823,0.12230215827338127,0.0,0.0,1.0,17,0,0,244
tree_stump,wifi,12710,0.9097417181358787,0.9784118357487923,0.9428280477160313,0.10565231679263884,0.9363797594780767,0.9980709218416027,6481,5443,643,143
adaboost_stumps,bluetooth,1029,0.0,0.0,0.0,0.0,0.5,1.0,0,914,0,115
adaboost_stumps,mqtt,261,1.0,0.7701149425287356,0.8701298701298702,0.0,0.0,1.0,201,0,0,60
adaboost_stumps,wifi,12710,0.953710400694344,0.9953200483091788,0.9740710644899164,0.05257969109431482,0.9987275902284645,0.9990749185035741,6593,5766,320,31
mlp_1hidden,bluetooth,1029,0.5111111111111111,1.0,0.676470588235294,0.12035010940919037,0.9998572923603843,0.9988318096941812,115,804,110,0
mlp_1hidden,mqtt,261,1.0,0.9731800766283525,0.9864077669902913,0.0,0.0,1.0,254,0,0,7
mlp_1hidden,wifi,12710,0.9936756512573408,0.996225845410628,0.994949114210328,0.0069010844561288205,0.9992193961828922,0.9994837654488651,6599,6044,42,25
