feature,rows_total,rows_valid,rows_missing,missing_ratio,mean,std,min,max,zero_ratio_valid,near_constant_flag
Header_Length,7669892,7669892,0,0.0,70759.61119480674,480000.1996023548,0.0,9895636.0,0.23223716839819908,0
Protocol Type,7669892,7669892,0,0.0,7.94219521355946,6.241990143517814,0.0,17.0,0.01617962808342021,0
Duration,7669892,7669892,0,0.0,64.2871540677875,14.274886449774101,0.0,255.0,0.01617962808342021,0
Rate,7669892,7669892,0,0.0,14228.01427551506,38397.402019720925,0.0,2097391.5,0.033406728543244155,0
Srate,7669892,7669892,0,0.0,14227.17418344031,38397.711137425904,0.0,2097391.5,0.04947409950492132,0
Drate,7669892,7669892,0,0.0,0.8400920747522227,12.866367872733615,0.0,816.6150512695312,0.9839326290383228,0
fin_flag_number,7669892,7669892,0,0.0,0.004975980772386629,0.03344749105070658,0.0,1.0,0.9711269728439462,0
syn_flag_number,7669892,7669892,0,0.0,0.1484823660589621,0.3297086019922213,0.0,1.0,0.8007282240740808,0
rst_flag_number,7669892,7669892,0,0.0,0.03620729090494572,0.13292963588400605,0.0,1.0,0.8894572439872687,0
psh_flag_number,7669892,7669892,0,0.0,0.03788095995203297,0.1305983885534469,0.0,1.0,0.8917005611030768,0
ack_flag_number,7669892,7669892,0,0.0,0.12448245185154601,0.2928948630428627,0.0,1.0,0.7916866365263031,0
ece_flag_number,7669892,7669892,0,0.0,3.7789071665575013e-06,0.0006134836620624506,0.0,0.30000001192092896,0.9999269872378908,1
cwr_flag_number,7669892,7669892,0,0.0,2.9418679854145616e-06,0.0005224715682621677,0.0,0.30000001192092896,0.9999276391375524,1
ack_count,7669892,7669892,0,0.0,0.02741115936002398,0.17484062535728598,0.0,11.199999809265137,0.9677484376572708,0
syn_count,7669892,7669892,0,0.0,0.2895690665828949,0.6014076471641752,0.0,10.699999809265137,0.7833337157811349,0
fin_count,7669892,7669892,0,0.0,0.08350139578192887,0.5878836542957909,0.0,151.74000549316406,0.8750724260524138,0
rst_count,7669892,7669892,0,0.0,188.40185097994706,978.6323541806088,0.0,23088.5,0.7721760619315109,0
HTTP,7669892,7669892,0,0.0,0.0007929455450006166,0.024823611374166044,0.0,1.0,0.9978452108582494,0
HTTPS,7669892,7669892,0,0.0,0.012511371681381264,0.09434136148681001,0.0,1.0,0.9587674767780302,0
DNS,7669892,7669892,0,0.0,0.0010934136397278437,0.01935616294340139,0.0,1.0,0.9940683649782813,0
Telnet,7669892,7669892,0,0.0,1.2751470202386103e-05,0.0009189087882658058,0.0,0.10000000149011612,0.9994422346494579,1
SMTP,7669892,7669892,0,0.0,1.2751190816979171e-05,0.0009189314139338397,0.0,0.10000000149011612,0.9994424954093226,1
SSH,7669892,7669892,0,0.0,1.3799590353965741e-05,0.0011383270173459792,0.0,0.8999999761581421,0.9994374105919615,1
IRC,7669892,7669892,0,0.0,1.2724235283741385e-05,0.0009189195006085255,0.0,0.1111111119389534,0.9994451030079693,1
TCP,7669892,7669892,0,0.0,0.42525744117757075,0.4893791484674609,0.0,1.0,0.551785866085207,0
UDP,7669892,7669892,0,0.0,0.3021050488294399,0.45375804459274377,0.0,1.0,0.639153067605124,0
DHCP,7669892,7669892,0,0.0,4.745829548566897e-06,0.001157311770284981,0.0,0.6000000238418579,0.9999305074960638,1
ARP,7669892,7669892,0,0.0,0.001717561592189148,0.027000955306085712,0.0,1.0,0.9906743145796577,0
ICMP,7669892,7669892,0,0.0,0.25484744104049806,0.4337197307627677,0.0,1.0,0.7275858643120399,0
IGMP,7669892,7669892,0,0.0,4.66890545019118e-06,0.001246444799936881,0.0,0.699999988079071,0.9999677961567125,1
IPv,7669892,7669892,0,0.0,0.9822150674798581,0.12838640392313475,0.0,1.0,0.01617962808342021,0
LLC,7669892,7669892,0,0.0,0.9862973805628548,0.10111981492424925,0.0,1.0,0.0056288928188297825,0
Tot sum,7669892,7669892,0,0.0,169748.4361952423,1597298.7735562797,42.0,24025616.0,0.0,0
Min,7669892,7669892,0,0.0,57.4434021928679,83.1907474659186,8.0,2962.0,0.0,0
Max,7669892,7669892,0,0.0,96.66734917937258,201.96841896389031,15.899999618530273,8754.0,0.0,0
AVG,7669892,7669892,0,0.0,69.11786230512071,117.13424960722581,10.919682502746582,3917.397216796875,0.0,0
Std,7669892,7669892,0,0.0,12.644877827754351,61.07549218660114,0.0,2283.81298828125,0.7077821956293517,0
Tot size,7669892,7669892,0,0.0,69.10202443203535,116.84512720175549,9.800000190734863,3609.199951171875,0.0,0
IAT,7669892,7669892,0,0.0,83340146.06375489,27849275.970803604,-1.2820613384246826,170118384.0,0.0010516445342385525,0
Number,7669892,7669892,0,0.0,6815.954204490524,65751.81072966306,1.0,998385.5,0.0,0
Magnitue,7669892,7669892,0,0.0,10.79092702460632,4.341147257972458,3.2967233657836914,88.44491577148438,0.0,0
Radius,7669892,7669892,0,0.0,17.776321656543605,86.3671646231435,0.0,3229.79931640625,0.7120046801180512,0
Covariance,7669892,7669892,0,0.0,5024.011567546308,35066.909361068254,0.0,5848446.5,0.7280720510797284,0
Variance,7669892,7669892,0,0.0,0.1291785415921874,0.28693913626582357,0.0,1.0,0.7280720510797284,0
Weight,7669892,7669892,0,0.0,139.25296218558188,35.946466633792475,0.0,244.60000610351562,0.016067370961677166,0
