error,feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
,1,0.4931437491904944,0.0,36,xgboost,1.05,"{""colsample_bytree"": 0.7610842781222339, ""gamma"": 0.010028859097904918, ""learning_rate"": 0.03743787253142941, ""max_bin"": 256, ""max_depth"": 11, ""min_child_weight"": 11.858165795746787, ""n_estimators"": 2796, ""reg_alpha"": 4.348384278587397, ""reg_lambda"": 36.173948464001214, ""subsample"": 0.80247493732627}",bluetooth,coarse,ok,0.3251412510871887,1,1.0,0.0,1.0,1.0,1.0
,1,0.1865447200834751,0.0,42,xgboost,1.05,"{""colsample_bytree"": 0.6813227776370653, ""gamma"": 0.006225988370029791, ""learning_rate"": 0.02265522275783128, ""max_bin"": 384, ""max_depth"": 9, ""min_child_weight"": 23.526061207326638, ""n_estimators"": 1944, ""reg_alpha"": 0.002078544783808974, ""reg_lambda"": 3.5524315809865, ""subsample"": 0.7321357212335923}",bluetooth,coarse,ok,0.3669145405292511,2,1.0,0.0,1.0,1.0,1.0
,1,0.161399896023795,0.0,31,xgboost,1.05,"{""colsample_bytree"": 0.6941071952324397, ""gamma"": 0.7268938344623582, ""learning_rate"": 0.1367448889704411, ""max_bin"": 256, ""max_depth"": 9, ""min_child_weight"": 3.4290051491309113, ""n_estimators"": 2348, ""reg_alpha"": 0.4149332020551766, ""reg_lambda"": 35.39767102104762, ""subsample"": 0.8294250475490873}",bluetooth,coarse,ok,0.13372501730918884,3,1.0,0.0,1.0,1.0,1.0
,1,0.18071712087839842,0.0,36,xgboost,1.05,"{""colsample_bytree"": 0.7918993275385496, ""gamma"": 0.6279405689216259, ""learning_rate"": 0.014068007016058015, ""max_bin"": 384, ""max_depth"": 7, ""min_child_weight"": 17.956854594851606, ""n_estimators"": 3171, ""reg_alpha"": 0.004153333681271797, ""reg_lambda"": 1.9444152376031714, ""subsample"": 0.9951766326378078}",bluetooth,coarse,ok,0.5136870741844177,4,1.0,0.0,1.0,1.0,1.0
,1,0.15672154701314867,0.0,17,xgboost,1.0499748697004723,"{""colsample_bytree"": 0.6606996716578658, ""gamma"": 0.00040738810355855914, ""learning_rate"": 0.09936348066207762, ""max_bin"": 512, ""max_depth"": 7, ""min_child_weight"": 20.973845538826968, ""n_estimators"": 1623, ""reg_alpha"": 0.2792164952379008, ""reg_lambda"": 28.10845870342479, ""subsample"": 0.8030708025824881}",bluetooth,coarse,ok,0.3136339485645294,5,0.9999748712149767,0.0,0.9999999697099103,1.0,0.9999497436928334
,1,0.18753976211883128,0.0,36,xgboost,1.05,"{""colsample_bytree"": 0.7034450637493558, ""gamma"": 0.03690527565620921, ""learning_rate"": 0.013332032093694926, ""max_bin"": 512, ""max_depth"": 10, ""min_child_weight"": 3.9403169553395445, ""n_estimators"": 1607, ""reg_alpha"": 0.35759458631152413, ""reg_lambda"": 41.03454619869026, ""subsample"": 0.7914551988367617}",bluetooth,coarse,ok,0.578975260257721,6,1.0,0.0,1.0,1.0,1.0
,1,0.14886180986650288,0.0,9,xgboost,1.05,"{""colsample_bytree"": 0.8389189016770762, ""gamma"": 0.0002179873918350765, ""learning_rate"": 0.08564369902065005, ""max_bin"": 256, ""max_depth"": 12, ""min_child_weight"": 3.414634489165878, ""n_estimators"": 2397, ""reg_alpha"": 0.00016580262824257447, ""reg_lambda"": 0.09425862027228944, ""subsample"": 0.9060704570377807}",bluetooth,coarse,ok,0.5294950604438782,7,1.0,0.0,1.0,1.0,1.0
,1,0.16261926898732781,0.0,10,xgboost,1.05,"{""colsample_bytree"": 0.7722687296654585, ""gamma"": 0.00025071850534492463, ""learning_rate"": 0.030206426772522568, ""max_bin"": 384, ""max_depth"": 5, ""min_child_weight"": 1.9315450533000353, ""n_estimators"": 1414, ""reg_alpha"": 5.332912292903469, ""reg_lambda"": 0.15825048927645635, ""subsample"": 0.766991060596341}",bluetooth,coarse,ok,0.7010330557823181,8,1.0,0.0,1.0,1.0,1.0
,1,0.15923829702660441,0.0,2,xgboost,1.05,"{""colsample_bytree"": 0.8137718513812215, ""gamma"": 0.05704896523438163, ""learning_rate"": 0.01946359470851243, ""max_bin"": 384, ""max_depth"": 6, ""min_child_weight"": 1.6255475821994354, ""n_estimators"": 3037, ""reg_alpha"": 0.0849636609192165, ""reg_lambda"": 0.03285159053838375, ""subsample"": 0.65182961331527}",bluetooth,coarse,ok,0.7923774719238281,9,1.0,0.0,1.0,1.0,1.0
,1,0.1307775778695941,0.0,2,xgboost,1.05,"{""colsample_bytree"": 0.8653117709669038, ""gamma"": 1.1642864944910463, ""learning_rate"": 0.14067742536839467, ""max_bin"": 384, ""max_depth"": 6, ""min_child_weight"": 1.4770986798792922, ""n_estimators"": 1812, ""reg_alpha"": 0.0009918370621436034, ""reg_lambda"": 0.005366398926805136, ""subsample"": 0.6558971924264416}",bluetooth,coarse,ok,0.7384970188140869,10,1.0,0.0,1.0,1.0,1.0
