protocol_hint,model,selection_score,threshold,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn,val_f1_at_selected_threshold,val_precision_at_selected_threshold,val_recall_at_selected_threshold,val_fpr_at_selected_threshold,val_threshold_feasible
bluetooth,xgboost_tuned__bluetooth,0.9999801354760534,0.3251412510871887,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9999984813208721,0.9999995975087019,25170,6670,1,0,1.0,1.0,1.0,0.0,1
bluetooth,catboost_tuned__bluetooth,0.9999801354760534,0.48211877746923504,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.999998409853619,0.9999995783150024,25170,6670,1,0,1.0,1.0,1.0,0.0,1
bluetooth,lightgbm_tuned__bluetooth,0.9999602717412895,0.576288874677817,0.9999205466391229,1.0,0.9999602717412895,0.00029980512666766604,0.9999948722245916,0.9999986348262994,25170,6669,2,0,1.0,1.0,1.0,0.0,1
bluetooth,complex_mlp_tuned__bluetooth,0.30051988387009654,0.507403552532196,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998766058319541,0.9999311781434618,4451,6670,1,20719,1.0,1.0,1.0,0.0,1
bluetooth,weighted_ensemble__bluetooth,0.30051988387009654,0.6182764768600464,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998750633304085,0.999928797241725,4451,6670,1,20719,1.0,1.0,1.0,0.0,1
mqtt,xgboost_tuned__mqtt,0.9987113604576242,0.6961119174957275,1.0,0.9974260378246881,0.9987113604576242,0.0,nan,0.9999999999999999,63551,0,0,164,0.9995533126146419,0.9999049266984845,0.9992019457323098,0.00012645102551781694,1
mqtt,catboost_tuned__mqtt,0.9978215221032929,0.5622694809675611,1.0,0.9956525151063329,0.9978215221032929,0.0,nan,1.0,63438,0,0,277,0.999562887224904,0.9997528892944039,0.9993729573611005,0.00032877266634632405,1
mqtt,lightgbm_tuned__mqtt,0.9987349629524864,0.698657231365612,1.0,0.9974731224986267,0.9987349629524864,0.0,nan,1.0,63554,0,0,161,0.9995628373755037,0.9998669100311811,0.9992589496085734,0.00017703143572494372,1
mqtt,complex_mlp_tuned__mqtt,0.9973089512778547,0.6675465703010559,1.0,0.9946323471709958,0.9973089512778547,0.0,nan,1.0,63373,0,0,342,0.9989253754053617,0.9999048072346501,0.9979478604545109,0.00012645102551781694,1
mqtt,weighted_ensemble__mqtt,0.9982784507629058,0.4734300374984741,1.0,0.9965628188024798,0.9982784507629058,0.0,nan,1.0,63496,0,0,219,0.9996484059485913,0.999847928982835,0.999448962529452,0.0002023216408285071,1
wifi,xgboost_tuned__wifi,0.999543079472432,0.45936551690101624,0.9999146676403816,0.999171767380987,0.999543079472432,0.0030907827587033088,0.9999430624709524,0.9999984351997927,1511607,41608,129,1253,0.9996370937211992,0.9998559994866717,0.9994182837880167,0.0025388055774796105,1
wifi,catboost_tuned__wifi,0.999346971219451,0.4025262913659879,0.9997935837629812,0.9989007575056515,0.999346971219451,0.0074753815559335845,0.999920502975927,0.9999978151782714,1511197,41425,312,1663,0.9995781741092891,0.999771699888312,0.9993847232373253,0.004025256511444357,1
wifi,lightgbm_tuned__wifi,0.9994858805609622,0.4195211695282476,0.9998597632247579,0.9991122774083524,0.9994858805609622,0.0050794259290317945,0.9999177485360148,0.9999977403426323,1511517,41525,212,1343,0.9996512845223661,0.9998194580907768,0.9994831675193533,0.003183372796632465,1
wifi,complex_mlp_tuned__wifi,0.9989589842438444,0.04983629658818245,0.9998556433835337,0.9980639318905913,0.9989589842438444,0.005223183266645902,0.9996835748194899,0.9999913331136413,1509931,41519,218,2929,0.9983869353713708,0.9997263084847361,0.9970511462792536,0.004814522494080505,1
wifi,weighted_ensemble__wifi,0.9995563131807386,0.4382919669151306,0.999908056377977,0.999204817365784,0.9995563131807386,0.003330378321393488,0.9999435221474069,0.999998447865196,1511657,41598,139,1203,0.9996557461487766,0.999864209606648,0.9994473695986158,0.0023941068139963165,1
