model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
xgboost_tuned__bluetooth,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
catboost_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
catboost_tuned__bluetooth,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
lightgbm_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.00029980512666766604,nan,0.0,0,6669,2,0
lightgbm_tuned__bluetooth,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
complex_mlp_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
complex_mlp_tuned__bluetooth,Other,25170,1.0,0.17683750496622963,0.30053002937105433,0.0,nan,1.0,4451,0,0,20719
weighted_ensemble__bluetooth,Benign,6671,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
weighted_ensemble__bluetooth,Other,25170,1.0,0.17683750496622963,0.30053002937105433,0.0,nan,1.0,4451,0,0,20719
xgboost_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
xgboost_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
xgboost_tuned__mqtt,Malformed,1747,1.0,0.9061247853463079,0.9507507507507508,0.0,nan,1.0,1583,0,0,164
catboost_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
catboost_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
catboost_tuned__mqtt,Malformed,1747,1.0,0.8414424728105323,0.9138949331675474,0.0,nan,1.0,1470,0,0,277
lightgbm_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
lightgbm_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
lightgbm_tuned__mqtt,Malformed,1747,1.0,0.907842014882656,0.9516951695169517,0.0,nan,1.0,1586,0,0,161
complex_mlp_tuned__mqtt,DDoS,50332,1.0,0.9999801319240245,0.9999900658633262,0.0,nan,1.0,50331,0,0,1
complex_mlp_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
complex_mlp_tuned__mqtt,Malformed,1747,1.0,0.8048082427017744,0.891849032667301,0.0,nan,1.0,1406,0,0,341
weighted_ensemble__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
weighted_ensemble__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,0.9999999999999999,11636,0,0,0
weighted_ensemble__mqtt,Malformed,1747,1.0,0.8746422438465942,0.9331297709923664,0.0,nan,1.0,1528,0,0,219
xgboost_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.0030907827587033088,nan,0.0,0,41608,129,0
xgboost_tuned__wifi,DDoS,1066764,1.0,0.9999981251710781,0.9999990625846603,0.0,nan,1.0,1066762,0,0,2
xgboost_tuned__wifi,DoS,416676,1.0,1.0,1.0,0.0,nan,1.0,416676,0,0,0
xgboost_tuned__wifi,Recon,27676,1.0,0.977128197716433,0.988431806136808,0.0,nan,1.0,27043,0,0,633
xgboost_tuned__wifi,Spoofing,1744,1.0,0.6456422018348624,0.7846689895470383,0.0,nan,1.0,1126,0,0,618
catboost_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.0074753815559335845,nan,0.0,0,41425,312,0
catboost_tuned__wifi,DDoS,1066764,1.0,0.9999971877566172,0.9999985938763314,0.0,nan,1.0,1066761,0,0,3
catboost_tuned__wifi,DoS,416676,1.0,1.0,1.0,0.0,nan,1.0,416676,0,0,0
catboost_tuned__wifi,Recon,27676,1.0,0.9607240930770342,0.979968672256519,0.0,nan,1.0,26589,0,0,1087
catboost_tuned__wifi,Spoofing,1744,1.0,0.6714449541284404,0.8034305317324185,0.0,nan,1.0,1171,0,0,573
lightgbm_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.0050794259290317945,nan,0.0,0,41525,212,0
lightgbm_tuned__wifi,DDoS,1066764,1.0,0.9999990625855391,0.9999995312925498,0.0,nan,1.0,1066763,0,0,1
lightgbm_tuned__wifi,DoS,416676,1.0,0.9999976000537588,0.9999988000254395,0.0,nan,1.0,416675,0,0,1
lightgbm_tuned__wifi,Recon,27676,1.0,0.9713470154646625,0.9854652761230961,0.0,nan,1.0,26883,0,0,793
lightgbm_tuned__wifi,Spoofing,1744,1.0,0.6857798165137615,0.8136054421768707,0.0,nan,1.0,1196,0,0,548
complex_mlp_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.005223183266645902,nan,0.0,0,41519,218,0
complex_mlp_tuned__wifi,DDoS,1066764,1.0,0.9999943755132344,0.9999971877487085,0.0,nan,0.9999999999999999,1066758,0,0,6
complex_mlp_tuned__wifi,DoS,416676,1.0,0.9999952001075176,0.9999976000479991,0.0,nan,0.9999999999999999,416674,0,0,2
complex_mlp_tuned__wifi,Recon,27676,1.0,0.9416461916461917,0.9699462195507751,0.0,nan,1.0,26061,0,0,1615
complex_mlp_tuned__wifi,Spoofing,1744,1.0,0.2511467889908257,0.40146654445462876,0.0,nan,1.0,438,0,0,1306
weighted_ensemble__wifi,Benign,41737,0.0,0.0,0.0,0.003330378321393488,nan,0.0,0,41598,139,0
weighted_ensemble__wifi,DDoS,1066764,1.0,0.9999981251710781,0.9999990625846603,0.0,nan,1.0,1066762,0,0,2
weighted_ensemble__wifi,DoS,416676,1.0,1.0,1.0,0.0,nan,1.0,416676,0,0,0
weighted_ensemble__wifi,Recon,27676,1.0,0.9777785807197572,0.9887644554871476,0.0,nan,1.0,27061,0,0,615
weighted_ensemble__wifi,Spoofing,1744,1.0,0.6639908256880734,0.7980702963473466,0.0,nan,0.9999999999999999,1158,0,0,586
catboost_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.006465873409353826,nan,0.0,0,48095,313,0
catboost_tuned__protocol_routed,DDoS,1117096,1.0,0.9999973144653638,0.9999986572308789,0.0,nan,0.9999999999999999,1117093,0,0,3
catboost_tuned__protocol_routed,DoS,428312,1.0,1.0,1.0,0.0,nan,0.9999999999999999,428312,0,0,0
catboost_tuned__protocol_routed,Malformed,1747,1.0,0.8414424728105323,0.9138949331675474,0.0,nan,1.0,1470,0,0,277
catboost_tuned__protocol_routed,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
catboost_tuned__protocol_routed,Recon,27676,1.0,0.9607240930770342,0.979968672256519,0.0,nan,0.9999999999999999,26589,0,0,1087
catboost_tuned__protocol_routed,Spoofing,1744,1.0,0.6714449541284404,0.8034305317324185,0.0,nan,1.0,1171,0,0,573
complex_mlp_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.004524045612295489,nan,0.0,0,48189,219,0
complex_mlp_tuned__protocol_routed,DDoS,1117096,1.0,0.9999937337525154,0.9999968668664412,0.0,nan,1.0,1117089,0,0,7
complex_mlp_tuned__protocol_routed,DoS,428312,1.0,0.9999953305067334,0.9999976652479157,0.0,nan,1.0,428310,0,0,2
complex_mlp_tuned__protocol_routed,Malformed,1747,1.0,0.8048082427017744,0.891849032667301,0.0,nan,1.0,1406,0,0,341
complex_mlp_tuned__protocol_routed,Other,25170,1.0,0.17683750496622963,0.30053002937105433,0.0,nan,1.0,4451,0,0,20719
complex_mlp_tuned__protocol_routed,Recon,27676,1.0,0.9416461916461917,0.9699462195507751,0.0,nan,1.0,26061,0,0,1615
complex_mlp_tuned__protocol_routed,Spoofing,1744,1.0,0.2511467889908257,0.40146654445462876,0.0,nan,1.0,438,0,0,1306
lightgbm_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.004420756899686002,nan,0.0,0,48194,214,0
lightgbm_tuned__protocol_routed,DDoS,1117096,1.0,0.9999991048217879,0.9999995524106936,0.0,nan,1.0,1117095,0,0,1
lightgbm_tuned__protocol_routed,DoS,428312,1.0,0.9999976652533668,0.9999988326253206,0.0,nan,1.0,428311,0,0,1
lightgbm_tuned__protocol_routed,Malformed,1747,1.0,0.907842014882656,0.9516951695169517,0.0,nan,1.0,1586,0,0,161
lightgbm_tuned__protocol_routed,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
lightgbm_tuned__protocol_routed,Recon,27676,1.0,0.9713470154646625,0.9854652761230961,0.0,nan,1.0,26883,0,0,793
lightgbm_tuned__protocol_routed,Spoofing,1744,1.0,0.6857798165137615,0.8136054421768707,0.0,nan,1.0,1196,0,0,548
weighted_ensemble__protocol_routed,Benign,48408,0.0,0.0,0.0,0.002892083953065609,nan,0.0,0,48268,140,0
weighted_ensemble__protocol_routed,DDoS,1117096,1.0,0.9999982096435759,0.9999991048209865,0.0,nan,0.9999999999999999,1117094,0,0,2
weighted_ensemble__protocol_routed,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
weighted_ensemble__protocol_routed,Malformed,1747,1.0,0.8746422438465942,0.9331297709923664,0.0,nan,1.0,1528,0,0,219
weighted_ensemble__protocol_routed,Other,25170,1.0,0.17683750496622963,0.30053002937105433,0.0,nan,1.0,4451,0,0,20719
weighted_ensemble__protocol_routed,Recon,27676,1.0,0.9777785807197572,0.9887644554871476,0.0,nan,1.0,27061,0,0,615
weighted_ensemble__protocol_routed,Spoofing,1744,1.0,0.6639908256880734,0.7980702963473466,0.0,nan,0.9999999999999999,1158,0,0,586
xgboost_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.002685506527846637,nan,0.0,0,48278,130,0
xgboost_tuned__protocol_routed,DDoS,1117096,1.0,0.9999982096435759,0.9999991048209865,0.0,nan,1.0,1117094,0,0,2
xgboost_tuned__protocol_routed,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
xgboost_tuned__protocol_routed,Malformed,1747,1.0,0.9061247853463079,0.9507507507507508,0.0,nan,1.0,1583,0,0,164
xgboost_tuned__protocol_routed,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
xgboost_tuned__protocol_routed,Recon,27676,1.0,0.977128197716433,0.988431806136808,0.0,nan,1.0,27043,0,0,633
xgboost_tuned__protocol_routed,Spoofing,1744,1.0,0.6456422018348624,0.7846689895470383,0.0,nan,1.0,1126,0,0,618
