model,protocol_hint,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,bluetooth,31841,1.0,0.9830353595550259,0.9914451144992287,0.0,0.986453471512885,0.9971202645483814,24743,6671,0,427
catboost_tuned__bluetooth,bluetooth,31841,1.0,0.9802145411203814,0.9900084266281449,0.0,0.9910474580080755,0.9961724992707963,24672,6671,0,498
lightgbm_tuned__bluetooth,bluetooth,31841,0.0,0.0,0.0,0.0,0.5231639660680629,0.7982386111255921,0,6671,0,25170
complex_mlp_tuned__bluetooth,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9998586675514313,0.9998863836044171,25170,6670,1,0
weighted_ensemble__bluetooth,bluetooth,31841,0.9716646077825818,1.0,0.9856286956181227,0.11002848148703342,0.9999999940443955,0.9999999984216028,25170,5937,734,0
xgboost_tuned__mqtt,mqtt,63715,1.0,0.9969708859766147,0.9984831456258793,0.0,nan,1.0,63522,0,0,193
catboost_tuned__mqtt,mqtt,63715,1.0,0.9941615004316096,0.9970722032457617,0.0,nan,1.0,63343,0,0,372
lightgbm_tuned__mqtt,mqtt,63715,1.0,0.997692850977007,0.998845093217476,0.0,nan,1.0,63568,0,0,147
complex_mlp_tuned__mqtt,mqtt,63715,1.0,0.9913364199952915,0.9956493639559262,0.0,nan,1.0,63163,0,0,552
weighted_ensemble__mqtt,mqtt,63715,1.0,0.9955426508671428,0.9977663473487173,0.0,nan,1.0,63431,0,0,284
xgboost_tuned__wifi,wifi,1554597,0.9999953659017756,0.9984631757069392,0.999228683449968,0.00016771689388312528,0.9998595064523166,0.9999961010855143,1510535,41730,7,2325
catboost_tuned__wifi,wifi,1554597,0.9999695515270902,0.9985742236558571,0.9992714005018506,0.0011021395883748233,0.9998470075525746,0.9999946847049401,1510703,41691,46,2157
complex_mlp_tuned__wifi,wifi,1554597,0.9999787920059118,0.997338154224449,0.9986567275314597,0.0007667058006085727,0.9995061531064374,0.9999865184901299,1508833,41705,32,4027
weighted_ensemble__wifi,wifi,1554597,0.9999940426545931,0.9985927316473434,0.9992928958856991,0.00021563600642116108,0.9998947411712118,0.9999971093090417,1510731,41728,9,2129
catboost_tuned__protocol_routed,bluetooth,31841,1.0,0.9802145411203814,0.9900084266281449,0.0,0.9910474580080755,0.9961724992707963,24672,6671,0,498
catboost_tuned__protocol_routed,mqtt,63715,1.0,0.9941615004316096,0.9970722032457617,0.0,nan,1.0,63343,0,0,372
catboost_tuned__protocol_routed,wifi,1554597,0.9999695515270902,0.9985742236558571,0.9992714005018506,0.0011021395883748233,0.9998470075525746,0.9999946847049401,1510703,41691,46,2157
complex_mlp_tuned__protocol_routed,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9998586675514313,0.9998863836044171,25170,6670,1,0
complex_mlp_tuned__protocol_routed,mqtt,63715,1.0,0.9913364199952915,0.9956493639559262,0.0,nan,1.0,63163,0,0,552
complex_mlp_tuned__protocol_routed,wifi,1554597,0.9999787920059118,0.997338154224449,0.9986567275314597,0.0007667058006085727,0.9995061531064374,0.9999865184901299,1508833,41705,32,4027
lightgbm_tuned__protocol_routed,bluetooth,31841,0.0,0.0,0.0,0.0,0.5231639660680629,0.7982386111255921,0,6671,0,25170
lightgbm_tuned__protocol_routed,mqtt,63715,1.0,0.997692850977007,0.998845093217476,0.0,nan,1.0,63568,0,0,147
weighted_ensemble__protocol_routed,bluetooth,31841,0.9716646077825818,1.0,0.9856286956181227,0.11002848148703342,0.9999999940443955,0.9999999984216028,25170,5937,734,0
weighted_ensemble__protocol_routed,mqtt,63715,1.0,0.9955426508671428,0.9977663473487173,0.0,nan,1.0,63431,0,0,284
weighted_ensemble__protocol_routed,wifi,1554597,0.9999940426545931,0.9985927316473434,0.9992928958856991,0.00021563600642116108,0.9998947411712118,0.9999971093090417,1510731,41728,9,2129
xgboost_tuned__protocol_routed,bluetooth,31841,1.0,0.9830353595550259,0.9914451144992287,0.0,0.986453471512885,0.9971202645483814,24743,6671,0,427
xgboost_tuned__protocol_routed,mqtt,63715,1.0,0.9969708859766147,0.9984831456258793,0.0,nan,1.0,63522,0,0,193
xgboost_tuned__protocol_routed,wifi,1554597,0.9999953659017756,0.9984631757069392,0.999228683449968,0.00016771689388312528,0.9998595064523166,0.9999961010855143,1510535,41730,7,2325
