model,attack_family,n,n_benign,n_attack,single_class_slice,slice_warning,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
xgboost_tuned__bluetooth,Other,25170,0,25170,1,single_class_slice,1.0,0.9830353595550259,0.9914451144992287,0.0,nan,1.0,24743,0,0,427
catboost_tuned__bluetooth,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
catboost_tuned__bluetooth,Other,25170,0,25170,1,single_class_slice,1.0,0.9802145411203814,0.9900084266281449,0.0,nan,1.0,24672,0,0,498
lightgbm_tuned__bluetooth,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
lightgbm_tuned__bluetooth,Other,25170,0,25170,1,single_class_slice,0.0,0.0,0.0,0.0,nan,1.0,0,0,0,25170
complex_mlp_tuned__bluetooth,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
complex_mlp_tuned__bluetooth,Other,25170,0,25170,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
weighted_ensemble__bluetooth,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.11002848148703342,nan,0.0,0,5937,734,0
weighted_ensemble__bluetooth,Other,25170,0,25170,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
xgboost_tuned__mqtt,DDoS,50332,0,50332,1,single_class_slice,1.0,0.9999801319240245,0.9999900658633262,0.0,nan,1.0,50331,0,0,1
xgboost_tuned__mqtt,DoS,11636,0,11636,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
xgboost_tuned__mqtt,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8511734401831712,0.9196042053184911,0.0,nan,1.0,1487,0,0,260
catboost_tuned__mqtt,DDoS,50332,0,50332,1,single_class_slice,1.0,0.9999403957720734,0.9999701969978443,0.0,nan,0.9999999999999999,50329,0,0,3
catboost_tuned__mqtt,DoS,11636,0,11636,1,single_class_slice,1.0,0.9998281196287384,0.9999140524280189,0.0,nan,0.9999999999999999,11634,0,0,2
catboost_tuned__mqtt,Malformed,1747,0,1747,1,single_class_slice,1.0,0.4367487120778477,0.6079681274900398,0.0,nan,1.0,763,0,0,984
lightgbm_tuned__mqtt,DDoS,50332,0,50332,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
lightgbm_tuned__mqtt,DoS,11636,0,11636,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
lightgbm_tuned__mqtt,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8500286204922725,0.9189356435643564,0.0,nan,0.9999999999999999,1485,0,0,262
complex_mlp_tuned__mqtt,DDoS,50332,0,50332,1,single_class_slice,1.0,0.9999801319240245,0.9999900658633262,0.0,nan,1.0,50331,0,0,1
complex_mlp_tuned__mqtt,DoS,11636,0,11636,1,single_class_slice,1.0,0.9996562392574768,0.9998280900807976,0.0,nan,1.0,11632,0,0,4
complex_mlp_tuned__mqtt,Malformed,1747,0,1747,1,single_class_slice,1.0,0.797366914710933,0.8872611464968153,0.0,nan,1.0,1393,0,0,354
weighted_ensemble__mqtt,DDoS,50332,0,50332,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
weighted_ensemble__mqtt,DoS,11636,0,11636,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
weighted_ensemble__mqtt,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8345735546651403,0.9098283931357254,0.0,nan,1.0,1458,0,0,289
xgboost_tuned__wifi,Benign,41737,41737,0,1,single_class_slice,0.0,0.0,0.0,0.00016771689388312528,nan,0.0,0,41730,7,0
xgboost_tuned__wifi,DDoS,1066764,0,1066764,1,single_class_slice,1.0,0.9999915632698516,0.9999957816171311,0.0,nan,1.0,1066755,0,0,9
xgboost_tuned__wifi,DoS,416676,0,416676,1,single_class_slice,1.0,0.9999928001612763,0.9999964000676788,0.0,nan,1.0,416673,0,0,3
xgboost_tuned__wifi,Recon,27676,0,27676,1,single_class_slice,1.0,0.9479693597340656,0.9732898056091408,0.0,nan,1.0,26236,0,0,1440
xgboost_tuned__wifi,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
catboost_tuned__wifi,Benign,41737,41737,0,1,single_class_slice,0.0,0.0,0.0,0.0011021395883748233,nan,0.0,0,41691,46,0
catboost_tuned__wifi,DDoS,1066764,0,1066764,1,single_class_slice,1.0,0.9999981251710781,0.9999990625846603,0.0,nan,0.9999999999999999,1066762,0,0,2
catboost_tuned__wifi,DoS,416676,0,416676,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,416676,0,0,0
catboost_tuned__wifi,Recon,27676,0,27676,1,single_class_slice,1.0,0.9536421448186154,0.9762710610516192,0.0,nan,0.9999999999999999,26393,0,0,1283
catboost_tuned__wifi,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.5,0.6666666666666666,0.0,nan,1.0,872,0,0,872
