rank,feature,weight,gain,cover,total_gain,total_cover,mean_abs_contribution,protocol_hint,threshold
1,Tot sum,44.0,233.70123291015625,131.15769958496094,10282.8544921875,5770.93896484375,5.196403980255127,bluetooth,0.998250424861908
2,Header_Length,5.0,3.847973346710205,4.888012886047363,19.239866256713867,24.4400634765625,0.6469664573669434,bluetooth,0.998250424861908
3,Number,2.0,698.4808959960938,222.69627380371094,1396.9617919921875,445.3925476074219,0.29835784435272217,bluetooth,0.998250424861908
4,IAT,3.0,2.226027488708496,3.5134437084198,6.678082466125488,10.54033088684082,0.11746048927307129,bluetooth,0.998250424861908
5,Max,20.0,2.278804302215576,40.1032600402832,45.57608413696289,802.065185546875,0.07376959174871445,bluetooth,0.998250424861908
6,Tot size,22.0,3.833446741104126,5.208002090454102,84.33583068847656,114.57604217529297,0.06192028149962425,bluetooth,0.998250424861908
7,Min,1.0,4.67565393447876,6.330602169036865,4.67565393447876,6.330602169036865,0.025654971599578857,bluetooth,0.998250424861908
8,Rate,4.0,3.7977898120880127,2.206897735595703,15.19115924835205,8.827590942382812,0.005420105066150427,bluetooth,0.998250424861908
9,Std,1.0,3.6531336307525635,2.996826410293579,3.6531336307525635,2.996826410293579,0.0008933987701311707,bluetooth,0.998250424861908
10,Protocol Type,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
11,Duration,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
12,Srate,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
13,Drate,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
14,fin_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
15,syn_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
16,rst_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
17,psh_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
18,ack_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
19,ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
20,cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
21,ack_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
22,syn_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
23,fin_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
24,rst_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
25,HTTP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
26,HTTPS,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
27,DNS,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
28,Telnet,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
29,SMTP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
30,SSH,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
31,IRC,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
32,TCP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
33,UDP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
34,DHCP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
35,ARP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
36,ICMP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
37,IGMP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
38,IPv,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
39,LLC,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
40,AVG,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
41,Magnitue,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
42,Radius,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
43,Covariance,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
44,Variance,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
45,Weight,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
1,Rate,828.0,2485.412353515625,1378.984619140625,2057921.5,1141799.25,3.812835216522217,mqtt,0.8607712984085083
2,syn_count,84.0,2148.798583984375,5189.9462890625,180499.078125,435955.46875,3.3456947803497314,mqtt,0.8607712984085083
3,ack_count,51.0,41.045387268066406,2882.488037109375,2093.314697265625,147006.890625,2.040688991546631,mqtt,0.8607712984085083
4,IAT,1018.0,11.830082893371582,1133.11474609375,12043.0244140625,1153510.75,1.1293020248413086,mqtt,0.8607712984085083
5,rst_count,447.0,8.578407287597656,2368.470947265625,3834.5478515625,1058706.5,1.063772439956665,mqtt,0.8607712984085083
6,Srate,163.0,360.2532958984375,378.58502197265625,58721.2890625,61709.359375,0.6563082933425903,mqtt,0.8607712984085083
7,Tot sum,393.0,5.045453071594238,1537.5299072265625,1982.863037109375,604249.25,0.2849594056606293,mqtt,0.8607712984085083
8,Header_Length,465.0,6.932395935058594,621.7802124023438,3223.564208984375,289127.8125,0.2273014634847641,mqtt,0.8607712984085083
9,fin_count,5.0,9.802473068237305,73.7779769897461,49.01236343383789,368.889892578125,0.21158766746520996,mqtt,0.8607712984085083
10,Min,245.0,1.8169039487838745,68.47442626953125,445.1414794921875,16776.234375,0.20279894769191742,mqtt,0.8607712984085083
11,syn_flag_number,2.0,16.031627655029297,147.75234985351562,32.063255310058594,295.50469970703125,0.1837485432624817,mqtt,0.8607712984085083
12,Covariance,378.0,1.8619825839996338,61.57368087768555,703.8294067382812,23274.8515625,0.1703437864780426,mqtt,0.8607712984085083
13,ack_flag_number,29.0,2.2677323818206787,25.138874053955078,65.76423645019531,729.02734375,0.12201543897390366,mqtt,0.8607712984085083
14,psh_flag_number,316.0,1.4424960613250732,296.7159423828125,455.8287658691406,93762.234375,0.0981295257806778,mqtt,0.8607712984085083
15,Number,9.0,4.148809432983398,4971.7119140625,37.33928680419922,44745.40625,0.09594368189573288,mqtt,0.8607712984085083
16,Tot size,385.0,2.124021291732788,47.29110336303711,817.7481689453125,18207.07421875,0.08542804419994354,mqtt,0.8607712984085083
17,Max,351.0,15.909786224365234,863.9320678710938,5584.3349609375,303240.15625,0.07250100374221802,mqtt,0.8607712984085083
18,Magnitue,242.0,1.834932565689087,32.69186782836914,444.0536804199219,7911.431640625,0.06371822208166122,mqtt,0.8607712984085083
19,AVG,266.0,1.8356552124023438,115.0213851928711,488.2842712402344,30595.689453125,0.059857532382011414,mqtt,0.8607712984085083
20,Std,254.0,2.878720760345459,218.5316162109375,731.195068359375,55507.03125,0.05196405202150345,mqtt,0.8607712984085083
21,rst_flag_number,2.0,80.19644165039062,15705.427734375,160.39288330078125,31410.85546875,0.04939340800046921,mqtt,0.8607712984085083
22,Radius,158.0,2.013129234313965,59.72279739379883,318.07440185546875,9436.2021484375,0.04015564173460007,mqtt,0.8607712984085083
23,Duration,172.0,2.514411687850952,1735.5264892578125,432.4787902832031,298510.5625,0.035348132252693176,mqtt,0.8607712984085083
24,fin_flag_number,5.0,9.027395248413086,164.7610321044922,45.1369743347168,823.80517578125,0.02949603460729122,mqtt,0.8607712984085083
25,Variance,144.0,1.3185219764709473,292.6239013671875,189.86715698242188,42137.83984375,0.021966872736811638,mqtt,0.8607712984085083
26,Weight,4.0,1.8567636013031006,218.482666015625,7.427054405212402,873.9306640625,0.01796841435134411,mqtt,0.8607712984085083
27,HTTPS,44.0,41.386295318603516,7596.16064453125,1820.9969482421875,334231.0625,0.010197230614721775,mqtt,0.8607712984085083
28,TCP,6.0,2.0214853286743164,10.855582237243652,12.128911972045898,65.13349151611328,0.010151450522243977,mqtt,0.8607712984085083
29,Protocol Type,73.0,1.4366518259048462,7252.3486328125,104.87557983398438,529421.4375,0.00860545877367258,mqtt,0.8607712984085083
30,UDP,20.0,2.2286648750305176,2574.302490234375,44.57329559326172,51486.05078125,0.00047441411879844964,mqtt,0.8607712984085083
31,IPv,4.0,6.677395820617676,42.127685546875,26.709583282470703,168.5107421875,0.0003391969366930425,mqtt,0.8607712984085083
32,ARP,5.0,6.762595176696777,72.96330261230469,33.8129768371582,364.8165283203125,0.000271763710770756,mqtt,0.8607712984085083
33,LLC,1.0,12.820545196533203,58.005332946777344,12.820545196533203,58.005332946777344,0.00018876028480008245,mqtt,0.8607712984085083
34,Drate,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
35,ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
36,cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
37,HTTP,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
38,DNS,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
39,Telnet,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
40,SMTP,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
41,SSH,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
42,IRC,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
43,DHCP,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
44,ICMP,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
45,IGMP,0.0,0.0,0.0,0.0,0.0,0.0,mqtt,0.8607712984085083
1,IAT,501.0,242.29953002929688,1270.7491455078125,121392.0625,636645.3125,2.8126227855682373,wifi,0.2261005938053131
2,Magnitue,120.0,62376.1484375,36042.1875,7485138.0,4325062.5,1.4189296960830688,wifi,0.2261005938053131
3,Tot size,110.0,21966.25,18259.04296875,2416287.5,2008494.75,1.3109781742095947,wifi,0.2261005938053131
4,Number,140.0,772.9169921875,1389.3238525390625,108208.3828125,194505.34375,0.9271183609962463,wifi,0.2261005938053131
5,rst_count,242.0,444.8598937988281,9852.013671875,107656.09375,2384187.25,0.6854764819145203,wifi,0.2261005938053131
6,Weight,71.0,469.2386779785156,1241.7850341796875,33315.9453125,88166.734375,0.4633854627609253,wifi,0.2261005938053131
7,AVG,37.0,88191.2109375,38516.953125,3263074.75,1425127.25,0.449124813079834,wifi,0.2261005938053131
8,fin_count,186.0,104.79161071777344,1930.1090087890625,19491.240234375,359000.28125,0.29952868819236755,wifi,0.2261005938053131
9,syn_count,116.0,51.35879135131836,300.3882141113281,5957.61962890625,34845.03125,0.2160802185535431,wifi,0.2261005938053131
10,Header_Length,66.0,125.34838104248047,1356.6622314453125,8272.9931640625,89539.7109375,0.21350125968456268,wifi,0.2261005938053131
11,Max,68.0,9315.486328125,7348.98828125,633453.0625,499731.1875,0.19965212047100067,wifi,0.2261005938053131
12,Rate,195.0,260.1266174316406,7876.82373046875,50724.6875,1535980.625,0.19342860579490662,wifi,0.2261005938053131
13,Variance,99.0,1128.2860107421875,10241.041015625,111700.3125,1013863.0625,0.17715920507907867,wifi,0.2261005938053131
14,psh_flag_number,25.0,845.8768920898438,21361.099609375,21146.921875,534027.5,0.1573476493358612,wifi,0.2261005938053131
15,HTTPS,97.0,238.7333526611328,11332.84375,23157.134765625,1099285.875,0.14582209289073944,wifi,0.2261005938053131
16,Duration,162.0,81.0997543334961,4421.34912109375,13138.16015625,716258.5625,0.13600143790245056,wifi,0.2261005938053131
17,Min,32.0,848.5972290039062,1789.9757080078125,27155.111328125,57279.22265625,0.10283052176237106,wifi,0.2261005938053131
18,Srate,68.0,128.88446044921875,3100.406005859375,8764.1435546875,210827.609375,0.07718625664710999,wifi,0.2261005938053131
19,ack_flag_number,71.0,742.5308227539062,1113.0313720703125,52719.6875,79025.2265625,0.07423065602779388,wifi,0.2261005938053131
20,Protocol Type,16.0,176.39622497558594,7993.91064453125,2822.339599609375,127902.5703125,0.05651035159826279,wifi,0.2261005938053131
21,ack_count,52.0,94.15380859375,301.8065490722656,4895.998046875,15693.9404296875,0.05190394073724747,wifi,0.2261005938053131
22,syn_flag_number,103.0,758.1472778320312,20465.94921875,78089.171875,2107992.75,0.045597609132528305,wifi,0.2261005938053131
23,Tot sum,27.0,51.410213470458984,1067.5379638671875,1388.0758056640625,28823.525390625,0.042167939245700836,wifi,0.2261005938053131
24,ARP,77.0,362.004150390625,23570.44921875,27874.3203125,1814924.625,0.04006662219762802,wifi,0.2261005938053131
25,Covariance,31.0,1378.0152587890625,1879.475830078125,42718.47265625,58263.75,0.038607511669397354,wifi,0.2261005938053131
26,Radius,16.0,308.2802429199219,645.4743041992188,4932.48388671875,10327.5888671875,0.027620483189821243,wifi,0.2261005938053131
27,rst_flag_number,75.0,204.10072326660156,10738.1796875,15307.5537109375,805363.5,0.022218775004148483,wifi,0.2261005938053131
28,HTTP,26.0,31.291799545288086,2426.377197265625,813.5867919921875,63085.8046875,0.01645633392035961,wifi,0.2261005938053131
29,IPv,35.0,258.65301513671875,20313.4296875,9052.85546875,710970.0625,0.01580188423395157,wifi,0.2261005938053131
30,Std,8.0,264.5189208984375,529.7872924804688,2116.1513671875,4238.29833984375,0.015382246114313602,wifi,0.2261005938053131
31,UDP,7.0,56.949676513671875,400.8740539550781,398.6477355957031,2806.118408203125,0.014980893582105637,wifi,0.2261005938053131
32,TCP,4.0,66.69158172607422,227.546875,266.7663269042969,910.1875,0.00937784742563963,wifi,0.2261005938053131
33,ICMP,47.0,1359.0938720703125,40938.98046875,63877.4140625,1924132.0,0.009184589609503746,wifi,0.2261005938053131
34,LLC,8.0,613.9820556640625,35116.015625,4911.8564453125,280928.125,0.006258709821850061,wifi,0.2261005938053131
35,DNS,3.0,39.75999069213867,170.63577270507812,119.27997589111328,511.9073181152344,0.002435132395476103,wifi,0.2261005938053131
36,Drate,0.0,0.0,0.0,0.0,0.0,0.0,wifi,0.2261005938053131
37,fin_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,wifi,0.2261005938053131
38,ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,wifi,0.2261005938053131
39,cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,wifi,0.2261005938053131
