case_id,protocol_used,outcome,label_true,prediction,score_attack,threshold,attack_family,attack_name,source_relpath,source_row_index
bluetooth_TP_001,bluetooth,TP,1,1,0.9989697933197021,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,360
bluetooth_TP_002,bluetooth,TP,1,1,0.9989697933197021,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,361
bluetooth_TP_003,bluetooth,TP,1,1,0.9989697933197021,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,362
bluetooth_TP_004,bluetooth,TP,1,1,0.9989697933197021,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,363
bluetooth_TN_001,bluetooth,TN,0,0,0.06212826445698738,0.998250424861908,Benign,Bluetooth_Benign,Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,1
bluetooth_TN_002,bluetooth,TN,0,0,0.011672545224428177,0.998250424861908,Benign,Bluetooth_Benign,Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,2
bluetooth_TN_003,bluetooth,TN,0,0,0.002804017160087824,0.998250424861908,Benign,Bluetooth_Benign,Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,3
bluetooth_TN_004,bluetooth,TN,0,0,0.002804017160087824,0.998250424861908,Benign,Bluetooth_Benign,Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,4
bluetooth_FN_001,bluetooth,FN,1,0,0.290205180644989,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,1
bluetooth_FN_002,bluetooth,FN,1,0,0.5491827726364136,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,2
bluetooth_FN_003,bluetooth,FN,1,0,0.5491827726364136,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,3
bluetooth_FN_004,bluetooth,FN,1,0,0.5491827726364136,0.998250424861908,Other,Bluetooth_DoS,Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,4
mqtt_TP_001,mqtt,TP,1,1,0.9999979734420776,0.8607712984085083,DDoS,MQTT-DDoS-Connect_Flood,WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Connect_Flood_test.pcap.csv,1
mqtt_TP_002,mqtt,TP,1,1,0.9999983310699463,0.8607712984085083,DDoS,MQTT-DDoS-Connect_Flood,WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Connect_Flood_test.pcap.csv,2
mqtt_TP_003,mqtt,TP,1,1,0.9999983310699463,0.8607712984085083,DDoS,MQTT-DDoS-Connect_Flood,WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Connect_Flood_test.pcap.csv,3
mqtt_TP_004,mqtt,TP,1,1,0.9999986886978149,0.8607712984085083,DDoS,MQTT-DDoS-Connect_Flood,WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Connect_Flood_test.pcap.csv,4
mqtt_FN_001,mqtt,FN,1,0,0.7702575325965881,0.8607712984085083,Malformed,MQTT-Malformed_Data,WiFI_and_MQTT/attacks/csv/test/MQTT-Malformed_Data_test.pcap.csv,1
mqtt_FN_002,mqtt,FN,1,0,0.6555973291397095,0.8607712984085083,Malformed,MQTT-Malformed_Data,WiFI_and_MQTT/attacks/csv/test/MQTT-Malformed_Data_test.pcap.csv,3
mqtt_FN_003,mqtt,FN,1,0,0.06308868527412415,0.8607712984085083,Malformed,MQTT-Malformed_Data,WiFI_and_MQTT/attacks/csv/test/MQTT-Malformed_Data_test.pcap.csv,4
mqtt_FN_004,mqtt,FN,1,0,0.35122549533843994,0.8607712984085083,Malformed,MQTT-Malformed_Data,WiFI_and_MQTT/attacks/csv/test/MQTT-Malformed_Data_test.pcap.csv,68
wifi_TP_001,wifi,TP,1,1,0.240467831492424,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,1
wifi_TP_002,wifi,TP,1,1,0.9719546437263489,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,2
wifi_TP_003,wifi,TP,1,1,0.997201681137085,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,4
wifi_TP_004,wifi,TP,1,1,0.9713369607925415,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,6
wifi_TN_001,wifi,TN,0,0,0.0007601974066346884,0.2261005938053131,Benign,Benign,WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,1
wifi_TN_002,wifi,TN,0,0,0.0015702896052971482,0.2261005938053131,Benign,Benign,WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,2
wifi_TN_003,wifi,TN,0,0,0.022322360426187515,0.2261005938053131,Benign,Benign,WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,3
wifi_TN_004,wifi,TN,0,0,0.0005688922246918082,0.2261005938053131,Benign,Benign,WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,4
wifi_FP_001,wifi,FP,0,1,0.23771439492702484,0.2261005938053131,Benign,Benign,WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,2293
wifi_FN_001,wifi,FN,1,0,0.05011240765452385,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,3
wifi_FN_002,wifi,FN,1,0,0.010471452958881855,0.2261005938053131,Spoofing,ARP_Spoofing,WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,5
