rank,feature,weight,gain,cover,total_gain,total_cover,mean_abs_contribution,protocol_hint,threshold
1,Tot sum,44.0,233.70123291015625,131.15769958496094,10282.8544921875,5770.93896484375,4.822021961212158,bluetooth,0.998250424861908
2,Header_Length,5.0,3.847973346710205,4.888012886047363,19.239866256713867,24.4400634765625,0.5448566675186157,bluetooth,0.998250424861908
3,Number,2.0,698.4808959960938,222.69627380371094,1396.9617919921875,445.3925476074219,0.27776584029197693,bluetooth,0.998250424861908
4,Max,20.0,2.278804302215576,40.1032600402832,45.57608413696289,802.065185546875,0.23180679976940155,bluetooth,0.998250424861908
5,Tot size,22.0,3.833446741104126,5.208002090454102,84.33583068847656,114.57604217529297,0.20706772804260254,bluetooth,0.998250424861908
6,IAT,3.0,2.226027488708496,3.5134437084198,6.678082466125488,10.54033088684082,0.12149021029472351,bluetooth,0.998250424861908
7,Min,1.0,4.67565393447876,6.330602169036865,4.67565393447876,6.330602169036865,0.0448693186044693,bluetooth,0.998250424861908
8,Rate,4.0,3.7977898120880127,2.206897735595703,15.19115924835205,8.827590942382812,0.01312293577939272,bluetooth,0.998250424861908
9,Std,1.0,3.6531336307525635,2.996826410293579,3.6531336307525635,2.996826410293579,0.003352775936946273,bluetooth,0.998250424861908
10,Protocol Type,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
11,Duration,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
12,Srate,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
13,Drate,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
14,fin_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
15,syn_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
16,rst_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
17,psh_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
18,ack_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
19,ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
20,cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
21,ack_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
22,syn_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
23,fin_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
24,rst_count,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
25,HTTP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
26,HTTPS,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
27,DNS,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
28,Telnet,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
29,SMTP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
30,SSH,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
31,IRC,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
32,TCP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
33,UDP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
34,DHCP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
35,ARP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
36,ICMP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
37,IGMP,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
38,IPv,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
39,LLC,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
40,AVG,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
41,Magnitue,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
42,Radius,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
43,Covariance,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
44,Variance,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
45,Weight,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth,0.998250424861908
1,Rate,828.0,2485.412353515625,1378.984619140625,2057921.5,1141799.25,3.482672691345215,mqtt,0.8607712984085083
2,syn_count,84.0,2148.798583984375,5189.9462890625,180499.078125,435955.46875,3.3506593704223633,mqtt,0.8607712984085083
3,ack_count,51.0,41.045387268066406,2882.488037109375,2093.314697265625,147006.890625,2.0378737449645996,mqtt,0.8607712984085083
4,IAT,1018.0,11.830082893371582,1133.11474609375,12043.0244140625,1153510.75,1.0805351734161377,mqtt,0.8607712984085083
5,rst_count,447.0,8.578407287597656,2368.470947265625,3834.5478515625,1058706.5,0.9489846229553223,mqtt,0.8607712984085083
6,Srate,163.0,360.2532958984375,378.58502197265625,58721.2890625,61709.359375,0.6385018229484558,mqtt,0.8607712984085083
7,Tot sum,393.0,5.045453071594238,1537.5299072265625,1982.863037109375,604249.25,0.25745871663093567,mqtt,0.8607712984085083
8,Min,245.0,1.8169039487838745,68.47442626953125,445.1414794921875,16776.234375,0.22809389233589172,mqtt,0.8607712984085083
9,fin_count,5.0,9.802473068237305,73.7779769897461,49.01236343383789,368.889892578125,0.20066148042678833,mqtt,0.8607712984085083
10,syn_flag_number,2.0,16.031627655029297,147.75234985351562,32.063255310058594,295.50469970703125,0.19426533579826355,mqtt,0.8607712984085083
11,Header_Length,465.0,6.932395935058594,621.7802124023438,3223.564208984375,289127.8125,0.15027442574501038,mqtt,0.8607712984085083
12,Covariance,378.0,1.8619825839996338,61.57368087768555,703.8294067382812,23274.8515625,0.1412937045097351,mqtt,0.8607712984085083
13,ack_flag_number,29.0,2.2677323818206787,25.138874053955078,65.76423645019531,729.02734375,0.13273362815380096,mqtt,0.8607712984085083
14,psh_flag_number,316.0,1.4424960613250732,296.7159423828125,455.8287658691406,93762.234375,0.11250093579292297,mqtt,0.8607712984085083
15,Number,9.0,4.148809432983398,4971.7119140625,37.33928680419922,44745.40625,0.09590581804513931,mqtt,0.8607712984085083
16,Tot size,385.0,2.124021291732788,47.29110336303711,817.7481689453125,18207.07421875,0.0866001695394516,mqtt,0.8607712984085083
17,Max,351.0,15.909786224365234,863.9320678710938,5584.3349609375,303240.15625,0.06542298942804337,mqtt,0.8607712984085083
18,Magnitue,242.0,1.834932565689087,32.69186782836914,444.0536804199219,7911.431640625,0.06495662033557892,mqtt,0.8607712984085083
19,rst_flag_number,2.0,80.19644165039062,15705.427734375,160.39288330078125,31410.85546875,0.0518827885389328,mqtt,0.8607712984085083
20,AVG,266.0,1.8356552124023438,115.0213851928711,488.2842712402344,30595.689453125,0.04838992655277252,mqtt,0.8607712984085083
21,Std,254.0,2.878720760345459,218.5316162109375,731.195068359375,55507.03125,0.04620339721441269,mqtt,0.8607712984085083
22,Radius,158.0,2.013129234313965,59.72279739379883,318.07440185546875,9436.2021484375,0.03720765933394432,mqtt,0.8607712984085083
