protocol_hint,feature,lower_bound,upper_bound,is_locked,lock_reason,sample_rows,sample_min,sample_max,sample_p_low,sample_p_high,sample_unique_count
bluetooth,ARP,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,AVG,24.0610294342041,41.179966354370116,0,,123235,10.919682502746582,46.39362335205078,24.0610294342041,41.179966354370116,81403
bluetooth,Covariance,0.0,0.0,1,auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,DNS,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,Drate,0.19206453174352645,301.11836181640626,0,,123235,0.04853731766343117,816.6150512695312,0.19206453174352645,301.11836181640626,119856
bluetooth,Duration,0.0,0.0,1,auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,HTTPS,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,Header_Length,0.0,14.0,0,,123235,0.0,14.0,0.0,14.0,11
bluetooth,IAT,0.0004956006887368858,0.30001049637794497,0,,123235,0.00025691985501907766,67768.65625,0.0004956006887368858,0.30001049637794497,21071
bluetooth,ICMP,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,IPv,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,IRC,0.0,0.0,1,semantic|auto_low_cardinality,123235,0.0,0.0,0.0,0.0,1
bluetooth,LLC,0.0,0.800000011920929,1,semantic|auto_low_cardinality,123235,0.0,1.0,0.0,0.800000011920929,11
