attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
baseline,0.0,global,,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,bluetooth,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,mqtt,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,wifi,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
surrogate_fgsm,0.0,global,,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127248,10516,0,0.0
surrogate_fgsm,0.0,protocol,bluetooth,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125240,4424,0,0.0
surrogate_fgsm,0.0,protocol,mqtt,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334,5175,0,0.0
surrogate_fgsm,0.0,protocol,wifi,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674,917,0,0.0
surrogate_fgsm,0.01,global,,75000,16.718026666666667,17.0,21.0,292392.80955065787,225634.37354587644,564616.2250705461,291752.85831682436,225584.0,564600.0,0.4636598515326228,0.011795692792778282,1.5837644867230047,0.3663377668531468,0.008495508396937017,1.0,0,0,0,0.0
surrogate_fgsm,0.01,protocol,bluetooth,25000,12.9992,13.0,13.0,70037.18229706015,70716.74403547443,70716.98183732592,69971.98121546875,70651.25,70651.5,1.2487570638982768,1.1673725375617796,1.584386501451822,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_fgsm,0.01,protocol,mqtt,25000,20.13696,21.0,21.0,580427.3978584224,564615.9570215594,564616.290844518,579242.3996997882,564600.0,564600.0,0.11082749399150402,0.011776263289209402,0.1309298793354194,0.08542661392414404,0.005070184424068446,0.11533341193064758,0,0,0,0.0
surrogate_fgsm,0.01,protocol,wifi,25000,17.01792,17.0,20.0,226713.8484964911,225634.38584800356,225635.02760967638,226044.1940352162,225584.0,225584.0,0.03139499670808775,0.011795692722087756,0.011918776888119497,0.024246045333740585,0.008495508396937017,0.008495508396937017,0,0,0,0.0
surrogate_fgsm,0.02,global,,75000,16.718026666666667,17.0,21.0,574649.0101467364,451268.70703756367,1129232.430357873,573894.8834506785,451168.0,1129200.0,0.4707111211316632,0.023591391512445537,1.5838343670705883,0.37009960373831763,0.016990977709266802,1.0,0,0,0,0.0
surrogate_fgsm,0.02,protocol,bluetooth,25000,12.9992,13.0,13.0,139183.26837932906,141433.39214940378,141433.46341555027,139054.148249375,141302.5,141302.5625,1.2488515793154569,1.1674727611332423,1.5844572428161587,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_fgsm,0.02,protocol,mqtt,25000,20.13696,21.0,21.0,1135271.6010504565,1129231.9089690014,1129232.4630269909,1133717.8352849248,1129200.0,1129200.0,0.12162651982655996,0.02354925144765114,0.13235185158138746,0.09011723082981622,0.010140368921048824,0.11533341193064758,0,0,0,0.0
