attack_method,epsilon,protocol_hint,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,delta_f1
baseline,0.0,bluetooth,24580,6671,0,420,1.0,0.9832,0.9915288422751108,0.0,31671,6671,25000,0.0,0,24580,0.0,0,25000,0.0
baseline,0.0,mqtt,24924,0,0,76,1.0,0.99696,0.9984776860828458,0.0,25000,0,25000,0.0,0,24924,0.0,0,25000,0.0
baseline,0.0,wifi,24969,24997,3,31,0.9998798654493032,0.99876,0.9993196189866325,0.00012,50000,25000,25000,0.0,0,24969,0.0,0,25000,0.0
surrogate_fgsm,0.0,bluetooth,24580,6671,0,420,1.0,0.9832,0.9915288422751108,0.0,31671,6671,25000,0.0,0,24580,0.0168,420,25000,0.0
surrogate_fgsm,0.0,mqtt,24924,0,0,76,1.0,0.99696,0.9984776860828458,0.0,25000,0,25000,0.0,0,24924,0.00304,76,25000,0.0
surrogate_fgsm,0.0,wifi,24969,24997,3,31,0.9998798654493032,0.99876,0.9993196189866325,0.00012,50000,25000,25000,0.0,0,24969,0.00124,31,25000,0.0
surrogate_fgsm,0.01,bluetooth,24288,6671,0,712,1.0,0.97152,0.9855542931342315,0.0,31671,6671,25000,0.011879576891781936,292,24580,0.02848,712,25000,-0.005974549140879359
surrogate_fgsm,0.01,mqtt,21394,0,0,3606,1.0,0.85576,0.9222744320386256,0.0,25000,0,25000,0.14195153265928423,3538,24924,0.14424,3606,25000,-0.07620325404422024
surrogate_fgsm,0.01,wifi,24961,24997,3,39,0.9998798269508091,0.99844,0.9991593947642302,0.00012,50000,25000,25000,0.00040049661580359645,10,24969,0.00156,39,25000,-0.00016022422240224987
surrogate_fgsm,0.02,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_fgsm,0.02,mqtt,20954,0,0,4046,1.0,0.83816,0.9119554336945641,0.0,25000,0,25000,0.15964532177820576,3979,24924,0.16184,4046,25000,-0.0865222523882817
surrogate_fgsm,0.02,wifi,24960,24997,3,40,0.9998798221367624,0.9984,0.9991393631287152,0.00012,50000,25000,25000,0.00044054627738395613,11,24969,0.0016,40,25000,-0.0001802558579172553
surrogate_fgsm,0.05,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_fgsm,0.05,mqtt,19794,0,0,5206,1.0,0.79176,0.8837790775550297,0.0,25000,0,25000,0.20590595410046542,5132,24924,0.20824,5206,25000,-0.1146986085278161
surrogate_fgsm,0.05,wifi,24954,24997,3,46,0.9998797932443804,0.99816,0.9990191564745682,0.00012,50000,25000,25000,0.000680844246866114,17,24969,0.00184,46,25000,-0.0003004625120642812
surrogate_fgsm,0.1,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_fgsm,0.1,mqtt,18434,0,0,6566,1.0,0.73736,0.8488281070129392,0.0,25000,0,25000,0.2604317124057134,6491,24924,0.26264,6566,25000,-0.1496495790699066
surrogate_fgsm,0.1,wifi,24947,24997,3,53,0.9998797595190381,0.99788,0.9988788788788787,0.00012,50000,25000,25000,0.0009611918779286315,24,24969,0.00212,53,25000,-0.0004407401077537454
surrogate_pgd,0.0,bluetooth,24580,6671,0,420,1.0,0.9832,0.9915288422751108,0.0,31671,6671,25000,0.0,0,24580,0.0168,420,25000,0.0
surrogate_pgd,0.0,mqtt,24924,0,0,76,1.0,0.99696,0.9984776860828458,0.0,25000,0,25000,0.0,0,24924,0.00304,76,25000,0.0
surrogate_pgd,0.0,wifi,24969,24997,3,31,0.9998798654493032,0.99876,0.9993196189866325,0.00012,50000,25000,25000,0.0,0,24969,0.00124,31,25000,0.0
surrogate_pgd,0.01,bluetooth,24288,6671,0,712,1.0,0.97152,0.9855542931342315,0.0,31671,6671,25000,0.011879576891781936,292,24580,0.02848,712,25000,-0.005974549140879359
surrogate_pgd,0.01,mqtt,21394,0,0,3606,1.0,0.85576,0.9222744320386256,0.0,25000,0,25000,0.14195153265928423,3538,24924,0.14424,3606,25000,-0.07620325404422024
surrogate_pgd,0.01,wifi,24961,24997,3,39,0.9998798269508091,0.99844,0.9991593947642302,0.00012,50000,25000,25000,0.00040049661580359645,10,24969,0.00156,39,25000,-0.00016022422240224987
surrogate_pgd,0.02,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_pgd,0.02,mqtt,20954,0,0,4046,1.0,0.83816,0.9119554336945641,0.0,25000,0,25000,0.15964532177820576,3979,24924,0.16184,4046,25000,-0.0865222523882817
surrogate_pgd,0.02,wifi,24960,24997,3,40,0.9998798221367624,0.9984,0.9991393631287152,0.00012,50000,25000,25000,0.00044054627738395613,11,24969,0.0016,40,25000,-0.0001802558579172553
surrogate_pgd,0.05,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_pgd,0.05,mqtt,19794,0,0,5206,1.0,0.79176,0.8837790775550297,0.0,25000,0,25000,0.20590595410046542,5132,24924,0.20824,5206,25000,-0.1146986085278161
surrogate_pgd,0.05,wifi,24954,24997,3,46,0.9998797932443804,0.99816,0.9990191564745682,0.00012,50000,25000,25000,0.000680844246866114,17,24969,0.00184,46,25000,-0.0003004625120642812
surrogate_pgd,0.1,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
surrogate_pgd,0.1,mqtt,18434,0,0,6566,1.0,0.73736,0.8488281070129392,0.0,25000,0,25000,0.2604317124057134,6491,24924,0.26264,6566,25000,-0.1496495790699066
surrogate_pgd,0.1,wifi,24947,24997,3,53,0.9998797595190381,0.99788,0.9988788788788787,0.00012,50000,25000,25000,0.0009611918779286315,24,24969,0.00212,53,25000,-0.0004407401077537454
heuristic_shap,0.0,bluetooth,24580,6671,0,420,1.0,0.9832,0.9915288422751108,0.0,31671,6671,25000,0.0,0,24580,0.0168,420,25000,0.0
heuristic_shap,0.0,mqtt,24924,0,0,76,1.0,0.99696,0.9984776860828458,0.0,25000,0,25000,0.0,0,24924,0.00304,76,25000,0.0
heuristic_shap,0.0,wifi,24969,24997,3,31,0.9998798654493032,0.99876,0.9993196189866325,0.00012,50000,25000,25000,0.0,0,24969,0.00124,31,25000,0.0
heuristic_shap,0.01,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
heuristic_shap,0.01,mqtt,23449,0,0,1551,1.0,0.93796,0.9679869553551158,0.0,25000,0,25000,0.05998234633285187,1495,24924,0.06204,1551,25000,-0.03049073072773001
heuristic_shap,0.01,wifi,24967,24997,3,33,0.9998798558269923,0.99868,0.9992795677406443,0.00012,50000,25000,25000,0.00016019864632143858,4,24969,0.00132,33,25000,-4.005124598815968e-05
heuristic_shap,0.02,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
heuristic_shap,0.02,mqtt,23900,0,0,1100,1.0,0.956,0.9775051124744376,0.0,25000,0,25000,0.0419274594768095,1045,24924,0.044,1100,25000,-0.020972573608408207
heuristic_shap,0.02,wifi,24967,24997,3,33,0.9998798558269923,0.99868,0.9992795677406443,0.00012,50000,25000,25000,0.00016019864632143858,4,24969,0.00132,33,25000,-4.005124598815968e-05
heuristic_shap,0.05,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
heuristic_shap,0.05,mqtt,24037,0,0,963,1.0,0.96148,0.9803617676448396,0.0,25000,0,25000,0.03643074947841438,908,24924,0.03852,963,25000,-0.018115918438006196
heuristic_shap,0.05,wifi,24963,24997,3,37,0.9998798365777457,0.99852,0.9991994556298281,0.00012,50000,25000,25000,0.00032039729264287715,8,24969,0.00148,37,25000,-0.00012016335680431478
heuristic_shap,0.1,bluetooth,0,6671,0,25000,0.0,0.0,0.0,0.0,31671,6671,25000,1.0,24580,24580,1.0,25000,25000,-0.9915288422751108
heuristic_shap,0.1,mqtt,24053,0,0,947,1.0,0.96212,0.9806943510080932,0.0,25000,0,25000,0.035788797945755096,892,24924,0.03788,947,25000,-0.017783335074752604
heuristic_shap,0.1,wifi,24970,24997,3,30,0.9998798702598807,0.9988,0.9993396434074401,0.00012,50000,25000,25000,0.00016019864632143858,4,24969,0.0012,30,25000,2.0024420807618348e-05
