attack_method,epsilon,attack_objective,target_label,query_budget,targeted_rows,targeted_successes,targeted_success_rate,queries_total,queries_mean,queries_p95,accepted_moves_mean,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,fp_attack_rate,fp_attack_rate_num,fp_attack_rate_den,fp_attack_rate_conditional,fp_attack_rate_conditional_num,fp_attack_rate_conditional_den,benign_side_status,delta_f1,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows
baseline,0.0,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,14894,10000,0,106,1.0,0.9929333333333333,0.9964541379541045,0.0,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.0,0,10000,0.0,0,10000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,malicious_evasion,1,300,15000,106,0.007066666666666666,0,0.0,0.0,0.0,14894,10000,0,106,1.0,0.9929333333333333,0.9964541379541045,0.0,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.0,0,10000,0.0,0,10000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.01,malicious_evasion,1,300,15000,120,0.008,4464584,297.63893333333334,300.0,3.4362,14880,10000,0,120,1.0,0.992,0.9959839357429718,0.0,25000,10000,15000,0.0009399758291929637,14,14894,0.008,120,15000,0.0,0,10000,0.0,0,10000,available,-0.00047020221113269756,0,0,0,0.0,411,0,0,0,0
query_sparse_hillclimb,0.02,malicious_evasion,1,300,15000,119,0.007933333333333334,4464736,297.64906666666667,300.0,4.312333333333333,14881,10000,0,119,1.0,0.9920666666666667,0.9960175362270339,0.0,25000,10000,15000,0.0008728346985363234,13,14894,0.007933333333333334,119,15000,0.0,0,10000,0.0,0,10000,available,-0.00043660172707060685,0,0,0,0.0,651,0,0,0,0
query_sparse_hillclimb,0.05,malicious_evasion,1,300,15000,121,0.008066666666666666,4464229,297.6152666666667,300.0,5.0752,14879,10000,0,121,1.0,0.9919333333333333,0.9959503330098062,0.0,25000,10000,15000,0.0010071169598496038,15,14894,0.008066666666666666,121,15000,0.0,0,10000,0.0,0,10000,available,-0.0005038049442983583,0,0,0,0.0,1252,0,0,0,0
query_sparse_hillclimb,0.1,malicious_evasion,1,300,15000,124,0.008266666666666667,4463448,297.5632,300.0,5.497066666666667,14876,10000,0,124,1.0,0.9917333333333334,0.9958495113134288,0.0,25000,10000,15000,0.0012085403518195246,18,14894,0.008266666666666667,124,15000,0.0,0,10000,0.0,0,10000,available,-0.0006046266406757317,0,0,0,0.0,545,0,0,0,0
query_sparse_hillclimb_benign,0.0,benign_side_effect,0,150,10000,0,0.0,0,0.0,0.0,0.0,14894,10000,0,106,1.0,0.9929333333333333,0.9964541379541045,0.0,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.0,0,10000,0.0,0,10000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.01,benign_side_effect,0,150,10000,1127,0.1127,1366134,136.6134,150.0,0.3492,14894,8873,1127,106,0.9296548280381999,0.9929333333333333,0.9602527320202443,0.1127,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.1127,1127,10000,0.1127,1127,10000,available,-0.03620140593386023,0,0,0,0.0,1,0,0,0,0
query_sparse_hillclimb_benign,0.02,benign_side_effect,0,150,10000,1501,0.1501,1322095,132.2095,150.0,0.6672,14894,8499,1501,106,0.9084476974687404,0.9929333333333333,0.9488135053352444,0.1501,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.1501,1501,10000,0.1501,1501,10000,available,-0.04764063261886009,0,0,0,0.0,3,0,0,0,0
query_sparse_hillclimb_benign,0.05,benign_side_effect,0,150,10000,1726,0.1726,1299900,129.99,150.0,0.8265,14894,8274,1726,106,0.8961492178098677,0.9929333333333333,0.9420619860847564,0.1726,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.1726,1726,10000,0.1726,1726,10000,available,-0.05439215186934809,0,0,0,0.0,1,0,0,0,0
query_sparse_hillclimb_benign,0.1,benign_side_effect,0,150,10000,2329,0.2329,1220063,122.0063,150.0,0.8203,14894,7671,2329,106,0.8647738489229518,0.9929333333333333,0.9244328585172082,0.2329,25000,10000,15000,0.0,0,14894,0.007066666666666666,106,15000,0.2329,2329,10000,0.2329,2329,10000,available,-0.07202127943689629,0,0,0,0.0,5,0,0,0,0
