attack_method,epsilon,protocol_hint,attack_objective,target_label,query_budget,targeted_rows,targeted_successes,targeted_success_rate,queries_total,queries_mean,queries_p95,accepted_moves_mean,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,fp_attack_rate,fp_attack_rate_num,fp_attack_rate_den,fp_attack_rate_conditional,fp_attack_rate_conditional_num,fp_attack_rate_conditional_den,benign_side_status,delta_f1,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows
baseline,0.0,bluetooth,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,198,200,0,2,1.0,0.99,0.9949748743718593,0.0,400,200,200,0.0,0,198,0.01,2,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
baseline,0.0,mqtt,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,200,0,0,0,1.0,1.0,1.0,0.0,200,0,200,0.0,0,200,0.0,0,200,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
baseline,0.0,wifi,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,199,200,0,1,1.0,0.995,0.9974937343358395,0.0,400,200,200,0.0,0,199,0.005,1,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,bluetooth,malicious_evasion,1,40,200,2,0.01,0,0.0,0.0,0.0,198,200,0,2,1.0,0.99,0.9949748743718593,0.0,400,200,200,0.0,0,198,0.01,2,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,mqtt,malicious_evasion,1,40,200,0,0.0,0,0.0,0.0,0.0,200,0,0,0,1.0,1.0,1.0,0.0,200,0,200,0.0,0,200,0.0,0,200,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,wifi,malicious_evasion,1,40,200,1,0.005,0,0.0,0.0,0.0,199,200,0,1,1.0,0.995,0.9974937343358395,0.0,400,200,200,0.0,0,199,0.005,1,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.02,bluetooth,malicious_evasion,1,40,200,2,0.01,7920,39.6,40.0,0.0,198,200,0,2,1.0,0.99,0.9949748743718593,0.0,400,200,200,0.0,0,198,0.01,2,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.02,mqtt,malicious_evasion,1,40,200,0,0.0,8000,40.0,40.0,3.525,200,0,0,0,1.0,1.0,1.0,0.0,200,0,200,0.0,0,200,0.0,0,200,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.02,wifi,malicious_evasion,1,40,200,1,0.005,7961,39.805,40.0,3.46,199,200,0,1,1.0,0.995,0.9974937343358395,0.0,400,200,200,0.0,0,199,0.005,1,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.0,bluetooth,benign_side_effect,0,20,200,0,0.0,0,0.0,0.0,0.0,198,200,0,2,1.0,0.99,0.9949748743718593,0.0,400,200,200,0.0,0,198,0.01,2,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.0,mqtt,benign_side_effect,0,20,0,0,,0,,,,200,0,0,0,1.0,1.0,1.0,0.0,200,0,200,0.0,0,200,0.0,0,200,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.0,wifi,benign_side_effect,0,20,200,0,0.0,0,0.0,0.0,0.0,199,200,0,1,1.0,0.995,0.9974937343358395,0.0,400,200,200,0.0,0,199,0.005,1,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.02,bluetooth,benign_side_effect,0,20,200,0,0.0,4000,20.0,20.0,0.0,198,200,0,2,1.0,0.99,0.9949748743718593,0.0,400,200,200,0.0,0,198,0.01,2,200,0.0,0,200,0.0,0,200,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.02,mqtt,benign_side_effect,0,20,0,0,,0,,,,200,0,0,0,1.0,1.0,1.0,0.0,200,0,200,0.0,0,200,0.0,0,200,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.02,wifi,benign_side_effect,0,20,200,32,0.16,3682,18.41,20.0,0.805,199,168,32,1,0.8614718614718615,0.995,0.923433874709977,0.16,400,200,200,0.0,0,199,0.005,1,200,0.16,32,200,0.16,32,200,available,-0.07405985962586259,0,0,0,0.0,0,0,0,0,0
