protocol_hint,feature,lower_bound,upper_bound,is_locked,lock_reason,sample_rows,sample_min,sample_max,sample_p_low,sample_p_high,sample_unique_count
bluetooth,ARP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,AVG,24.061114807128906,41.17855854034424,0,,3000,13.306607246398926,41.307533264160156,24.061114807128906,41.17855854034424,2946
bluetooth,Covariance,0.0,0.0,1,auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,DNS,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Drate,0.19795434415340427,300.8185638427734,0,,3000,0.05716598778963089,381.34088134765625,0.19795434415340427,300.8185638427734,2998
bluetooth,Duration,0.0,0.0,1,auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,HTTPS,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Header_Length,0.0,14.0,0,,3000,0.0,14.0,0.0,14.0,11
bluetooth,IAT,0.0004957895277766511,0.2734536623954709,0,,3000,0.0004662990686483681,0.7477374076843262,0.0004957895277766511,0.2734536623954709,1006
bluetooth,ICMP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,IPv,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,IRC,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,LLC,0.0,0.800000011920929,1,semantic|auto_low_cardinality,3000,0.0,0.8999999761581421,0.0,0.800000011920929,10
bluetooth,Magnitue,4.905213308334351,6.417052283287048,0,,3000,3.6477274894714355,6.427093505859375,4.905213308334351,6.417052283287048,2691
bluetooth,Max,132.0,262.0,0,,3000,75.0,262.0,132.0,262.0,4
bluetooth,Min,8.0,10.0,0,,3000,8.0,10.0,8.0,10.0,2
bluetooth,Number,1104.1000000000004,982647.5,0,,3000,45.5,998385.5,1104.1000000000004,982647.5,2982
bluetooth,Protocol Type,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Radius,12.357820997238159,33.401388778686474,0,,3000,10.13171672821045,62.7095832824707,12.357820997238159,33.401388778686474,2996
bluetooth,Rate,0.19795434415340427,300.8185638427734,0,,3000,0.05716598778963089,381.34088134765625,0.19795434415340427,300.8185638427734,2998
bluetooth,SMTP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,SSH,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Srate,0.0,0.0,1,auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Std,12.357820997238159,33.401388778686474,0,,3000,10.13171672821045,62.7095832824707,12.357820997238159,33.401388778686474,2996
bluetooth,TCP,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
bluetooth,Telnet,0.0,0.0,1,semantic|auto_low_cardinality,3000,0.0,0.0,0.0,0.0,1
