protocol_hint,feature,lower_bound,upper_bound,is_locked,lock_reason,sample_rows,sample_min,sample_max,sample_p_low,sample_p_high,sample_unique_count
bluetooth,ARP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,AVG,24.060941314697267,41.162842979431154,0,,1000,19.827007293701172,41.283084869384766,24.060941314697267,41.162842979431154,996
bluetooth,Covariance,0.0,0.0,1,auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,DNS,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Drate,0.3379269286990166,300.8817758178711,0,,1000,0.06653329730033875,303.7257080078125,0.3379269286990166,300.8817758178711,999
bluetooth,Duration,0.0,0.0,1,auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,HTTPS,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Header_Length,0.0,14.0,0,,1000,0.0,14.0,0.0,14.0,10
bluetooth,IAT,0.0004951944353524595,0.30584379434585574,0,,1000,0.0004853963910136372,3.4474804401397705,0.0004951944353524595,0.30584379434585574,433
bluetooth,ICMP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,IPv,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,IRC,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,LLC,0.0,0.800000011920929,1,semantic|auto_low_cardinality,1000,0.0,0.8999999761581421,0.0,0.800000011920929,10
bluetooth,Magnitue,4.905195198059082,6.415827717781067,0,,1000,4.452752590179443,6.425191402435303,4.905195198059082,6.415827717781067,966
bluetooth,Max,132.0,262.0,0,,1000,132.0,262.0,132.0,262.0,3
bluetooth,Min,8.0,10.0,0,,1000,8.0,10.0,8.0,10.0,2
bluetooth,Number,1424.3,985611.2,0,,1000,105.5,997715.5,1424.3,985611.2,998
bluetooth,Protocol Type,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Radius,12.356834812164307,29.739219741821284,0,,1000,12.352569580078125,59.47817611694336,12.356834812164307,29.739219741821284,1000
bluetooth,Rate,0.3379269286990166,300.8817758178711,0,,1000,0.06653329730033875,303.7257080078125,0.3379269286990166,300.8817758178711,999
bluetooth,SMTP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,SSH,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Srate,0.0,0.0,1,auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Std,12.356834812164307,29.739219741821284,0,,1000,12.352569580078125,59.47817611694336,12.356834812164307,29.739219741821284,1000
bluetooth,TCP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Telnet,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Tot size,17.295999240875243,47.30399925231933,0,,1000,13.100000381469727,49.79999923706055,17.295999240875243,47.30399925231933,118
bluetooth,Tot sum,35736.990000000005,23719032.8,0,,1000,2486.39990234375,24009536.0,35736.990000000005,23719032.8,1000
bluetooth,UDP,0.0,0.0,1,semantic|auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
bluetooth,Variance,0.0,0.0,1,auto_low_cardinality,1000,0.0,0.0,0.0,0.0,1
