attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
baseline,0.0,global,,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,bluetooth,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,mqtt,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
baseline,0.0,protocol,wifi,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
surrogate_fgsm,0.0,global,,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017,74,0,0.0
surrogate_fgsm,0.0,protocol,bluetooth,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002,36,0,0.0
surrogate_fgsm,0.0,protocol,mqtt,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,32,0,0.0
surrogate_fgsm,0.0,protocol,wifi,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0.0
surrogate_fgsm,0.02,global,,600,17.143333333333334,18.0,21.0,548743.8593358063,418658.29630220076,1094858.6434695802,548272.9324479167,418512.0,1094840.0,0.30474168617186104,0.032928654822849956,1.2435945712013552,0.27960630415739335,0.027392284724945846,1.0,0,0,0,0.0
surrogate_fgsm,0.02,protocol,bluetooth,200,13.0,13.0,13.0,139075.9382045745,141910.3842552249,141910.39313373555,138946.672734375,141778.5,141778.5,0.7448923543579304,0.6316883545028236,1.2435945712013552,0.7003076923076921,0.6307692307692307,1.0,0,0,0,0.0
