attack_method,epsilon,protocol_hint,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,delta_f1
baseline,0.0,bluetooth,196,200,0,4,1.0,0.98,0.98989898989899,0.0,400,200,200,0.0,0,196,0.0,0,200,0.0
baseline,0.0,mqtt,199,0,0,1,1.0,0.995,0.9974937343358395,0.0,200,0,200,0.0,0,199,0.0,0,200,0.0
baseline,0.0,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
surrogate_fgsm,0.0,bluetooth,196,200,0,4,1.0,0.98,0.98989898989899,0.0,400,200,200,0.0,0,196,0.02,4,200,0.0
surrogate_fgsm,0.0,mqtt,199,0,0,1,1.0,0.995,0.9974937343358395,0.0,200,0,200,0.0,0,199,0.005,1,200,0.0
surrogate_fgsm,0.0,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
surrogate_fgsm,0.02,bluetooth,0,200,0,200,0.0,0.0,0.0,0.0,400,200,200,1.0,196,196,1.0,200,200,-0.98989898989899
surrogate_fgsm,0.02,mqtt,173,0,0,27,1.0,0.865,0.9276139410187667,0.0,200,0,200,0.1306532663316583,26,199,0.135,27,200,-0.06987979331707284
surrogate_fgsm,0.02,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
surrogate_pgd,0.0,bluetooth,196,200,0,4,1.0,0.98,0.98989898989899,0.0,400,200,200,0.0,0,196,0.02,4,200,0.0
surrogate_pgd,0.0,mqtt,199,0,0,1,1.0,0.995,0.9974937343358395,0.0,200,0,200,0.0,0,199,0.005,1,200,0.0
surrogate_pgd,0.0,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
surrogate_pgd,0.02,bluetooth,0,200,0,200,0.0,0.0,0.0,0.0,400,200,200,1.0,196,196,1.0,200,200,-0.98989898989899
surrogate_pgd,0.02,mqtt,173,0,0,27,1.0,0.865,0.9276139410187667,0.0,200,0,200,0.1306532663316583,26,199,0.135,27,200,-0.06987979331707284
surrogate_pgd,0.02,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
heuristic_shap,0.0,bluetooth,196,200,0,4,1.0,0.98,0.98989898989899,0.0,400,200,200,0.0,0,196,0.02,4,200,0.0
heuristic_shap,0.0,mqtt,199,0,0,1,1.0,0.995,0.9974937343358395,0.0,200,0,200,0.0,0,199,0.005,1,200,0.0
heuristic_shap,0.0,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
heuristic_shap,0.02,bluetooth,0,200,0,200,0.0,0.0,0.0,0.0,400,200,200,1.0,196,196,1.0,200,200,-0.98989898989899
heuristic_shap,0.02,mqtt,195,0,0,5,1.0,0.975,0.9873417721518987,0.0,200,0,200,0.02512562814070352,5,199,0.025,5,200,-0.010151962183940877
heuristic_shap,0.02,wifi,200,200,0,0,1.0,1.0,1.0,0.0,400,200,200,0.0,0,200,0.0,0,200,0.0
