protocol,model_name,family_id,family_name,family_description,seed,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,warm_model_device,robust_model_device,hardneg_weight,maladv_weight,extra_topk_per_epsilon,n_aug_benign,n_aug_malicious,timing_seconds,files,final_rank
bluetooth,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,1,True,none,True,True,True,0.0,0.0,0.99,0.9969861362266426,0.9949748743718593,0.9999775886535645,0.9999775886535645,cuda,cuda,2.0,2.0,500,500,4000,"{'total': 17.367952346801758, 'warm_fit': 1.141012191772461, 'attack_gen': 14.618561744689941, 'robust_fit': 1.4533324241638184, 'threshold_eval': 0.10357809066772461}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",1
bluetooth,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.7926666666666666,0.9029776947588177,0.8843436221643733,0.9999988656975359,0.9999988656975359,cuda,cuda,2.0,2.0,500,500,4000,"{'total': 113.88585329055786, 'warm_fit': 49.01963663101196, 'attack_gen': 15.136555433273315, 'robust_fit': 49.553080558776855, 'threshold_eval': 0.12230372428894043}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",2
bluetooth,catboost,C,recall_priority_control,current_hardening_control,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.5913333333333334,0.9108462650339543,0.7431922915793884,0.9999988656975792,0.9999988656975792,cuda,cuda,2.5,2.5,2500,1512,4000,"{'total': 109.56972408294678, 'warm_fit': 49.73697853088379, 'attack_gen': 14.979247570037842, 'robust_fit': 44.67193913459778, 'threshold_eval': 0.12535643577575684}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",3
bluetooth,lightgbm,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.05266666666666667,0.022382886005744278,0.10006333122229259,0.9999933057553483,0.9999930760208124,gpu,gpu,2.0,2.0,500,500,4000,"{'total': 19.81482172012329, 'warm_fit': 3.2408957481384277, 'attack_gen': 14.722810745239258, 'robust_fit': 1.753140926361084, 'threshold_eval': 0.04505348205566406}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_B_seed_42/attack_preview.csv', 'saved_model': ''}",4
bluetooth,lightgbm,C,recall_priority_control,current_hardening_control,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.05,0.021893110109465555,0.09523809523809523,0.9999933057555871,0.9999933057555871,gpu,gpu,2.5,2.5,2500,1512,4000,"{'total': 18.23562216758728, 'warm_fit': 1.5467638969421387, 'attack_gen': 14.62293267250061, 'robust_fit': 1.908663272857666, 'threshold_eval': 0.045561790466308594}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_C_seed_42/attack_preview.csv', 'saved_model': ''}",5
bluetooth,lightgbm,A,fpr_priority,strict_flip_only_low_weight,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.046,0.020618556701030924,0.08795411089866156,0.9999933057553518,0.9999933057553518,gpu,gpu,1.5,1.5,0,0,4000,"{'total': 20.032652854919434, 'warm_fit': 2.265387773513794, 'attack_gen': 14.816180229187012, 'robust_fit': 2.754767417907715, 'threshold_eval': 0.045326948165893555}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_lightgbm_A_seed_42/attack_preview.csv', 'saved_model': ''}",6
bluetooth,xgboost,C,recall_priority_control,current_hardening_control,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.0026666666666666666,0.004197901049475262,0.005319148936170213,0.9999775886535645,0.9999803304672241,cuda,cuda,2.5,2.5,2500,1512,4000,"{'total': 17.55058979988098, 'warm_fit': 1.035376787185669, 'attack_gen': 14.618890762329102, 'robust_fit': 1.5956103801727295, 'threshold_eval': 0.24702787399291992}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",7
bluetooth,catboost,A,fpr_priority,strict_flip_only_low_weight,42,0,False,adv_recall_only,True,True,False,0.0,0.0,0.0013333333333333333,0.0,0.0026631158455392807,0.9999988656976447,0.9999999165620018,cuda,cuda,1.5,1.5,0,0,4000,"{'total': 104.91998410224915, 'warm_fit': 49.213744163513184, 'attack_gen': 14.956809043884277, 'robust_fit': 40.508002281188965, 'threshold_eval': 0.1201932430267334}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",8
bluetooth,mlp,C,recall_priority_control,current_hardening_control,42,0,False,adv_recall_only,True,True,False,9.139097057210747e-05,0.0,0.0,0.0002002803925495694,0.0,1.0,1.0,cuda,cuda,2.5,2.5,2500,1512,4000,"{'total': 19.262777090072632, 'warm_fit': 2.1727840900421143, 'attack_gen': 14.652022123336792, 'robust_fit': 2.3442559242248535, 'threshold_eval': 0.04113960266113281}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_C_seed_42/attack_preview.csv', 'saved_model': ''}",9
bluetooth,mlp,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,0,False,adv_recall_only,True,True,False,0.00013708645585816122,0.0,0.0,0.0002002703649927402,0.0,1.0,1.0,cuda,cuda,2.0,2.0,500,500,4000,"{'total': 19.056857109069824, 'warm_fit': 2.1275839805603027, 'attack_gen': 14.638533592224121, 'robust_fit': 2.1974732875823975, 'threshold_eval': 0.04191851615905762}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_bluetooth_mlp_B_seed_42/attack_preview.csv', 'saved_model': ''}",10
