protocol,model_name,family_id,family_name,family_description,seed,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,warm_model_device,robust_model_device,hardneg_weight,maladv_weight,extra_topk_per_epsilon,n_aug_benign,n_aug_malicious,timing_seconds,files,final_rank
wifi,catboost,C,recall_priority_control,current_hardening_control,42,106,True,none,True,True,True,0.0,0.0,0.9966666666666667,0.9970543592909882,0.9983305509181971,0.10033451041187914,0.8067226913679423,cuda,cuda,2.5,2.5,2500,3617,4000,"{'total': 97.12963128089905, 'warm_fit': 35.30242991447449, 'attack_gen': 26.502760887145996, 'robust_fit': 35.10204243659973, 'threshold_eval': 0.1436924934387207}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",1
wifi,xgboost,C,recall_priority_control,current_hardening_control,42,86,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9958337357931678,0.9973262032085561,0.30101734166851735,0.7311008015174043,cuda,cuda,2.5,2.5,2500,3617,4000,"{'total': 30.34194302558899, 'warm_fit': 1.934107780456543, 'attack_gen': 26.241518020629883, 'robust_fit': 2.007342576980591, 'threshold_eval': 0.1201639175415039}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",2
wifi,lightgbm,C,recall_priority_control,current_hardening_control,42,78,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9953420650822387,0.9973262032085561,0.3210821374943577,0.6386601478061462,gpu,gpu,2.5,2.5,2500,3617,4000,"{'total': 33.335657358169556, 'warm_fit': 3.3042967319488525, 'attack_gen': 26.110828638076782, 'robust_fit': 3.7242798805236816, 'threshold_eval': 0.15757155418395996}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_C_seed_42/attack_preview.csv', 'saved_model': ''}",3
wifi,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,108,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950960491297259,0.9973262032085561,0.14046829202995081,0.9075630377417229,cuda,cuda,2.0,2.0,500,1617,4000,"{'total': 97.27657675743103, 'warm_fit': 35.291526079177856, 'attack_gen': 26.361405849456787, 'robust_fit': 35.43908381462097, 'threshold_eval': 0.14584946632385254}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",4
wifi,lightgbm,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,79,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950507172593347,0.9973262032085561,0.321082137494159,0.882355545350019,gpu,gpu,2.0,2.0,500,1617,4000,"{'total': 33.11184215545654, 'warm_fit': 3.2702066898345947, 'attack_gen': 26.106403350830078, 'robust_fit': 3.5446314811706543, 'threshold_eval': 0.153090238571167}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_B_seed_42/attack_preview.csv', 'saved_model': ''}",5
wifi,lightgbm,A,fpr_priority,strict_flip_only_low_weight,42,76,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9949989043991596,0.9973262032085561,0.3210821374929096,0.9243713802009094,gpu,gpu,1.5,1.5,0,1117,4000,"{'total': 33.33467936515808, 'warm_fit': 3.480156898498535, 'attack_gen': 26.256267309188843, 'robust_fit': 3.3897759914398193, 'threshold_eval': 0.17130327224731445}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_lightgbm_A_seed_42/attack_preview.csv', 'saved_model': ''}",6
wifi,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,56,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9948175173071716,0.9966555183946488,0.30101734166851735,0.789934263776994,cuda,cuda,1.5,1.5,0,1117,4000,"{'total': 30.2683162689209, 'warm_fit': 1.6781725883483887, 'attack_gen': 26.22550082206726, 'robust_fit': 1.904712200164795, 'threshold_eval': 0.21483993530273438}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",7
wifi,catboost,A,fpr_priority,strict_flip_only_low_weight,42,108,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9948110379857803,0.9966555183946488,0.13043484615811649,0.9663865568486261,cuda,cuda,1.5,1.5,0,1117,4000,"{'total': 97.55358290672302, 'warm_fit': 35.70220947265625, 'attack_gen': 26.266873359680176, 'robust_fit': 35.39842081069946, 'threshold_eval': 0.14574050903320312}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",8
wifi,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,73,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9947915995204146,0.9966555183946488,0.30101734166851735,0.7899378513529806,cuda,cuda,2.0,2.0,500,1617,4000,"{'total': 30.34470272064209, 'warm_fit': 1.8925156593322754, 'attack_gen': 26.21081304550171, 'robust_fit': 1.9775900840759277, 'threshold_eval': 0.11935162544250488}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",9
wifi,mlp,A,fpr_priority,strict_flip_only_low_weight,42,31,True,none,True,True,True,0.0004928536224741252,0.0006666666666666666,0.9926666666666667,0.994337894831878,0.9959866220735786,0.9966555184604943,0.2857142857142857,cuda,cuda,1.5,1.5,0,1117,4000,"{'total': 45.36837124824524, 'warm_fit': 10.735010147094727, 'attack_gen': 26.139100074768066, 'robust_fit': 8.379926204681396, 'threshold_eval': 0.07613539695739746}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_mlp_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_mlp_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_121948/candidates/coarse_wifi_mlp_A_seed_42/attack_preview.csv', 'saved_model': ''}",10
