protocol,model_name,family_id,family_name,family_description,seed,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
mqtt,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,104,True,none,True,True,True,0.0,0.0,0.9953333333333333,0.9976195269846158,0.9976612094888071,0.9230769230847097,0.9915961658262592,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.75,2.25,250,1357,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1357, 'after_rows': 1357, 'capped': False, 'max_allowed_rows': 1357}","{'total': 35.35150980949402, 'warm_fit': 3.233518600463867, 'attack_gen': 28.342419385910034, 'robust_fit': 3.595771551132202, 'threshold_eval': 0.1345357894897461}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",1
mqtt,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,99,True,none,True,True,True,2.653857381704307e-05,0.0,0.9986666666666667,0.9989237010490958,0.9993328885923949,0.9230769230847097,0.9915962840344326,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.25,2.75,500,1607,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1607, 'after_rows': 1607, 'capped': False, 'max_allowed_rows': 1607}","{'total': 35.32499933242798, 'warm_fit': 3.161511182785034, 'attack_gen': 28.26301860809326, 'robust_fit': 3.657510995864868, 'threshold_eval': 0.1858534812927246}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",2
mqtt,lightgbm,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,44,True,none,True,True,True,2.653857381704307e-05,0.0,0.9906666666666667,0.9969305886396227,0.9953114534494306,0.8795973886649631,0.9411700420752614,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.0,2.0,500,1607,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1607, 'after_rows': 1607, 'capped': False, 'max_allowed_rows': 1607}","{'total': 36.96942925453186, 'warm_fit': 3.9074087142944336, 'attack_gen': 28.362610340118408, 'robust_fit': 4.541235685348511, 'threshold_eval': 0.11393880844116211}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_B_seed_42/attack_preview.csv', 'saved_model': ''}",3
mqtt,lightgbm,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,37,True,none,True,True,True,2.653857381704307e-05,0.0,0.9906666666666667,0.9962525496892937,0.9953114534494306,0.9498313087999877,0.9243583600707711,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.25,2.75,500,1607,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1607, 'after_rows': 1607, 'capped': False, 'max_allowed_rows': 1607}","{'total': 36.36986494064331, 'warm_fit': 4.09342622756958, 'attack_gen': 28.185545921325684, 'robust_fit': 3.937347173690796, 'threshold_eval': 0.10958361625671387}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_E_seed_42/attack_preview.csv', 'saved_model': ''}",4
mqtt,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,99,True,none,True,True,True,5.307714763408614e-05,0.0,0.9993333333333333,0.9988882055163929,0.9996665555185061,0.9230769230847097,0.9915965204488116,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.0,2.0,500,1607,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1607, 'after_rows': 1607, 'capped': False, 'max_allowed_rows': 1607}","{'total': 35.46251034736633, 'warm_fit': 3.157036781311035, 'attack_gen': 28.341853141784668, 'robust_fit': 3.540681838989258, 'threshold_eval': 0.37888050079345703}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",5
mqtt,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,100,True,none,True,True,True,5.307714763408614e-05,0.0,0.998,0.9988526820036667,0.998998998998999,0.9230769230847097,0.9831929256959543,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.5,1.5,0,1107,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1107, 'after_rows': 1107, 'capped': False, 'max_allowed_rows': 1107}","{'total': 34.94878268241882, 'warm_fit': 3.2986488342285156, 'attack_gen': 28.331822395324707, 'robust_fit': 3.1199214458465576, 'threshold_eval': 0.15461158752441406}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",6
mqtt,xgboost,C,recall_priority_control,bluetooth_recovery_tuned,42,104,True,none,True,True,True,5.307714763408614e-05,0.0,0.9953333333333333,0.9980112223879537,0.9976612094888071,0.9230769230847097,0.9915964022407812,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.0,2.25,800,1907,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1907, 'after_rows': 1907, 'capped': False, 'max_allowed_rows': 1907}","{'total': 35.45126509666443, 'warm_fit': 3.2126238346099854, 'attack_gen': 28.39323115348816, 'robust_fit': 3.6041529178619385, 'threshold_eval': 0.19683051109313965}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",7
mqtt,lightgbm,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,39,True,none,True,True,True,0.0,0.0006666666666666666,0.9946666666666667,0.9981297348484849,0.9969929836284664,0.9498313088002661,0.8823434645427779,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.75,2.25,250,1357,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1357, 'after_rows': 1357, 'capped': False, 'max_allowed_rows': 1357}","{'total': 36.38889670372009, 'warm_fit': 3.886402130126953, 'attack_gen': 28.189940214157104, 'robust_fit': 4.162994623184204, 'threshold_eval': 0.1040341854095459}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_D_seed_42/attack_preview.csv', 'saved_model': ''}",8
mqtt,lightgbm,A,fpr_priority,strict_flip_only_low_weight,42,35,True,none,True,True,True,0.0,0.0006666666666666666,0.994,0.9974176735370766,0.9966577540106951,0.946486568632726,0.8991451676377551,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.5,1.5,0,1107,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1107, 'after_rows': 1107, 'capped': False, 'max_allowed_rows': 1107}","{'total': 36.719451904296875, 'warm_fit': 4.333826303482056, 'attack_gen': 28.16791081428528, 'robust_fit': 4.062429666519165, 'threshold_eval': 0.1027674674987793}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_A_seed_42/attack_preview.csv', 'saved_model': ''}",9
mqtt,lightgbm,C,recall_priority_control,bluetooth_recovery_tuned,42,53,True,none,True,True,True,2.653857381704307e-05,0.0006666666666666666,0.99,0.9972870834369928,0.9946416610850637,0.9498313088001116,0.8739418034805432,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.0,2.25,800,1907,4000,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1907, 'after_rows': 1907, 'capped': False, 'max_allowed_rows': 1907}","{'total': 36.59842777252197, 'warm_fit': 3.9209775924682617, 'attack_gen': 28.215315341949463, 'robust_fit': 4.314459562301636, 'threshold_eval': 0.10348916053771973}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_mqtt_lightgbm_C_seed_42/attack_preview.csv', 'saved_model': ''}",10
