protocol,model_name,family_id,family_name,family_description,seed,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
wifi,catboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,104,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9951478519740445,0.9973262032085561,0.10367898003707804,0.9075630320010506,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,1367,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1367, 'after_rows': 1367, 'capped': False, 'max_allowed_rows': 1367}","{'total': 96.84330558776855, 'warm_fit': 35.20539307594299, 'attack_gen': 26.190553188323975, 'robust_fit': 35.26887273788452, 'threshold_eval': 0.13867402076721191}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",1
wifi,lightgbm,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,82,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9951284265333212,0.9973262032085561,0.32108213748915215,0.9075645690091616,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,1367,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1367, 'after_rows': 1367, 'capped': False, 'max_allowed_rows': 1367}","{'total': 32.66148328781128, 'warm_fit': 3.1317760944366455, 'attack_gen': 25.902089834213257, 'robust_fit': 3.4383339881896973, 'threshold_eval': 0.15048575401306152}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_D_seed_42/attack_preview.csv', 'saved_model': ''}",2
wifi,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,99,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950766216860637,0.9973262032085561,0.12374588163552017,0.9327731173385306,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 96.81207585334778, 'warm_fit': 35.35666823387146, 'attack_gen': 26.262548208236694, 'robust_fit': 35.00753045082092, 'threshold_eval': 0.14575529098510742}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",3
wifi,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,103,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950571934912196,0.9973262032085561,0.09030105860405939,0.9327731138642787,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 96.51913380622864, 'warm_fit': 34.951507806777954, 'attack_gen': 26.20624852180481, 'robust_fit': 35.16175961494446, 'threshold_eval': 0.143294095993042}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",4
wifi,lightgbm,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,75,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950377645451499,0.9973262032085561,0.32108213749255354,0.8907588147470359,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 33.05145001411438, 'warm_fit': 3.103940963745117, 'attack_gen': 25.931028604507446, 'robust_fit': 3.824575424194336, 'threshold_eval': 0.15408039093017578}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_B_seed_42/attack_preview.csv', 'saved_model': ''}",5
wifi,catboost,C,recall_priority_control,bluetooth_recovery_tuned,42,109,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9950053812988587,0.9973262032085561,0.08695658689896754,0.957983197724473,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.25,800,1917,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1917, 'after_rows': 1917, 'capped': False, 'max_allowed_rows': 1917}","{'total': 96.49613761901855, 'warm_fit': 35.1233274936676, 'attack_gen': 26.140066862106323, 'robust_fit': 35.05147862434387, 'threshold_eval': 0.14154672622680664}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",6
wifi,lightgbm,A,fpr_priority,strict_flip_only_low_weight,42,76,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9949989043991596,0.9973262032085561,0.3210821374943832,0.9243713802010389,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,1117,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1117, 'after_rows': 1117, 'capped': False, 'max_allowed_rows': 1117}","{'total': 33.46897053718567, 'warm_fit': 3.5750491619110107, 'attack_gen': 25.966763973236084, 'robust_fit': 3.7224559783935547, 'threshold_eval': 0.1682415008544922}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_A_seed_42/attack_preview.csv', 'saved_model': ''}",7
wifi,lightgbm,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,78,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9949794731991519,0.9973262032085561,0.321082137492925,0.9159682206089449,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 32.68760132789612, 'warm_fit': 3.1359786987304688, 'attack_gen': 25.943615913391113, 'robust_fit': 3.4174818992614746, 'threshold_eval': 0.15291833877563477}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_E_seed_42/attack_preview.csv', 'saved_model': ''}",8
wifi,lightgbm,C,recall_priority_control,bluetooth_recovery_tuned,42,82,True,none,True,True,True,0.0,0.0,0.9946666666666667,0.9949276529921691,0.9973262032085561,0.32108213748986586,0.9075640816289083,gate_pass_lexicographic,0.0,gpu,gpu,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.25,800,1917,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1917, 'after_rows': 1917, 'capped': False, 'max_allowed_rows': 1917}","{'total': 33.08068895339966, 'warm_fit': 3.1402580738067627, 'attack_gen': 25.86926817893982, 'robust_fit': 3.879701852798462, 'threshold_eval': 0.15401649475097656}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_lightgbm_C_seed_42/attack_preview.csv', 'saved_model': ''}",9
wifi,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,72,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.994862870218183,0.9966555183946488,0.30101734166851735,0.6386810591714134,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 30.402170658111572, 'warm_fit': 2.0166287422180176, 'attack_gen': 26.115240335464478, 'robust_fit': 2.1013269424438477, 'threshold_eval': 0.1288309097290039}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",10
