split,epsilon,source_relpath,source_row_index,baseline_margin,adv_margin,queries_used,l0,l2,linf
train_mqtt_mlp_bluetooth_recovery_e,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,114560,-0.19204121828079224,0.00485682487487793,48,5,5876.352836167312,5875.94140625
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,38825,0.003342866897583008,-0.052188754081726074,24,1,48.70013427734375,48.70013427734375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,37714,0.019763529300689697,-0.009471237659454346,24,2,71.0446634504462,60.90911865234375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,37798,0.026874423027038574,-0.004578590393066406,24,3,12.828298482932766,8.905982971191406
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,7796,0.05730074644088745,-0.010143399238586426,48,4,515.6290472635081,512.23681640625
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,25252,0.05780220031738281,-0.029000818729400635,48,3,8833.89726502103,8833.80078125
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,32428,0.019762873649597168,-0.00745999813079834,24,1,10140.7578125,10140.7578125
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,4246,0.007331907749176025,-0.02617412805557251,24,3,11814.309239849083,11814.296875
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,39438,0.05680757761001587,-0.026356399059295654,48,4,17260.022704484905,17259.9453125
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,20123,0.030027449131011963,-0.025167405605316162,24,3,379.5604697222652,375.93603515625
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,40300,0.08232927322387695,-0.004665791988372803,48,7,230.98527391186735,222.609130859375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,41974,0.016344845294952393,-0.020220398902893066,24,1,46.2073974609375,46.2073974609375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,33125,0.05718672275543213,-0.011717617511749268,24,2,52.06001439720974,52.001708984375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,40720,0.004909157752990723,-0.03379034996032715,24,2,12274.752486506079,12274.73828125
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,21771,0.08136743307113647,-0.0010205507278442383,48,5,243.65644385124273,233.88623046875
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,28014,0.023819386959075928,-0.026531875133514404,24,3,26.593950565558732,20.013153076171875
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,24571,0.05940401554107666,-0.013036906719207764,48,5,523.479217417938,511.704833984375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,1099,0.011680364608764648,-0.059251487255096436,24,4,221.59743191530183,219.814697265625
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,29019,0.05855458974838257,-0.031586408615112305,48,5,38.1099220132082,36.85491943359375
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,18164,0.02509593963623047,-0.04077333211898804,24,3,36.160747914346615,36.09065246582031
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,40759,0.004765629768371582,-0.06190693378448486,24,3,7289.04895974856,7288.796875
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,35629,0.048476338386535645,-0.05411863327026367,48,5,5412.646442587244,5395.98046875
val_mqtt_mlp,0.1,WiFI_and_MQTT/attacks/csv/train/MQTT-DoS-Publish_Flood_train.pcap.csv,37678,0.0573539137840271,-0.04668891429901123,48,4,7197.813901763337,7197.734375
