protocol,model_name,family_id,family_name,family_description,seed,stage_name,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,val_benign_count,val_malicious_count,fpr_resolution,strict_fpr_feasible,split_seed_used,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,search_profile,search_train_benign_sample,search_train_malicious_sample,search_val_benign_sample,search_val_malicious_sample,search_query_budget_benign,search_query_budget_malicious,search_query_steps_benign,search_query_steps_malicious,search_query_candidates_benign,search_query_candidates_malicious,search_query_score_batch_benign,search_query_score_batch_malicious,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
bluetooth,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,coarse,1,True,none,True,True,True,0.0,0.0,1.0,0.9999749593088769,1.0,0.9999988656974673,0.9966664447206678,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 105.3443660736084, 'warm_fit': 47.928152084350586, 'attack_gen': 6.295465707778931, 'robust_fit': 50.847275733947754, 'threshold_eval': 0.22071123123168945}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",1
bluetooth,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,1,True,none,True,True,True,0.0,0.0,0.991,0.9965829145728643,0.9954796584630838,0.9999775886535645,0.9999775886535645,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 9.50713062286377, 'warm_fit': 1.2381176948547363, 'attack_gen': 6.140413284301758, 'robust_fit': 1.6774909496307373, 'threshold_eval': 0.39864134788513184}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",2
bluetooth,xgboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,0,False,fpr_only,False,False,True,0.4739992688722354,0.454,0.99,0.7898452456924059,0.8101472995090017,0.9999775886535645,0.9999791383743286,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 8.63616132736206, 'warm_fit': 1.0419392585754395, 'attack_gen': 6.166353702545166, 'robust_fit': 1.2494757175445557, 'threshold_eval': 0.12458562850952148}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",3
bluetooth,catboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,0,False,fpr_only,False,False,True,0.5333577042588192,0.535,0.999,0.7737622323418273,0.7884767166535123,0.9999988656975632,0.9966663984176668,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 106.66377854347229, 'warm_fit': 47.91950607299805, 'attack_gen': 6.367511749267578, 'robust_fit': 51.985095739364624, 'threshold_eval': 0.2197728157043457}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",4
bluetooth,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,coarse,0,False,fpr_only,False,False,True,0.5565710107841345,0.537,0.991,0.7633006347374496,0.7840189873417722,0.9999775886535645,0.9999775886535645,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,250,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 250, 'after_rows': 250, 'capped': False, 'max_allowed_rows': 529}","{'total': 9.89909291267395, 'warm_fit': 1.358154058456421, 'attack_gen': 6.146512031555176, 'robust_fit': 1.8111646175384521, 'threshold_eval': 0.4729764461517334}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",5
bluetooth,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,0,False,fpr_only,False,False,True,0.5466093949917749,0.547,0.999,0.7694382888524907,0.7847604084838963,0.9999996983727676,0.9966666723398788,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 102.7525634765625, 'warm_fit': 47.99459171295166, 'attack_gen': 6.31699275970459, 'robust_fit': 48.08217096328735, 'threshold_eval': 0.21992158889770508}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",6
bluetooth,catboost,A,fpr_priority,strict_flip_only_low_weight,42,coarse,0,False,fpr_only,False,False,True,0.7690550173642844,0.776,0.996,0.703428349952433,0.7186147186147186,0.999998865697539,0.9966666483483678,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,0,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 0, 'after_rows': 0, 'capped': False, 'max_allowed_rows': 0}","{'total': 81.08898591995239, 'warm_fit': 47.86059021949768, 'attack_gen': 7.660030364990234, 'robust_fit': 25.312024116516113, 'threshold_eval': 0.2024061679840088}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",7
bluetooth,catboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,coarse,0,False,fpr_only,False,False,True,0.7825808810089563,0.783,0.995,0.6995284589899556,0.7163426925845932,0.999998865697555,0.996665556751966,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,250,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 250, 'after_rows': 250, 'capped': False, 'max_allowed_rows': 529}","{'total': 110.03644847869873, 'warm_fit': 48.04522395133972, 'attack_gen': 6.288313388824463, 'robust_fit': 55.42219924926758, 'threshold_eval': 0.2254021167755127}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_catboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",8
bluetooth,mlp,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,coarse,0,False,fpr_only,False,False,True,0.8612685066715409,0.87,0.993,0.6775688198419189,0.6936779601816278,1.0,0.9833333541542439,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 14.987080335617065, 'warm_fit': 4.3344292640686035, 'attack_gen': 6.123202085494995, 'robust_fit': 4.424912929534912, 'threshold_eval': 0.05545806884765625}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_B_seed_42/attack_preview.csv', 'saved_model': ''}",9
bluetooth,mlp,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,0,False,fpr_only,False,False,True,0.8714585998903308,0.883,0.991,0.6744422939798308,0.6896311760612387,1.0,0.9833333333355766,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,500,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 1512, 'max_fraction': 0.35, 'before_rows': 500, 'after_rows': 500, 'capped': False, 'max_allowed_rows': 529}","{'total': 15.054753303527832, 'warm_fit': 4.3277599811553955, 'attack_gen': 6.129470348358154, 'robust_fit': 4.491235256195068, 'threshold_eval': 0.05561971664428711}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_bluetooth_mlp_E_seed_42/attack_preview.csv', 'saved_model': ''}",10
