protocol,model_name,family_id,family_name,family_description,seed,stage_name,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,val_benign_count,val_malicious_count,fpr_resolution,strict_fpr_feasible,split_seed_used,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,search_profile,search_train_benign_sample,search_train_malicious_sample,search_val_benign_sample,search_val_malicious_sample,search_query_budget_benign,search_query_budget_malicious,search_query_steps_benign,search_query_steps_malicious,search_query_candidates_benign,search_query_candidates_malicious,search_query_score_batch_benign,search_query_score_batch_malicious,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
wifi,catboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,coarse,128,True,none,True,True,True,0.0009857072449482504,0.0,0.991,0.9969705740472745,0.9954796584630838,0.11371243831823737,0.34333336169146383,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,664,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 664, 'after_rows': 664, 'capped': False, 'max_allowed_rows': 664}","{'total': 78.52938556671143, 'warm_fit': 34.571462869644165, 'attack_gen': 8.513960123062134, 'robust_fit': 35.17280101776123, 'threshold_eval': 0.2460932731628418}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",1
wifi,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,137,True,none,True,True,True,0.0014785608674223755,0.0,0.99,0.9970931728147349,0.9949748743718593,0.10702346400335719,0.3800001323790548,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 78.50841951370239, 'warm_fit': 34.7766797542572, 'attack_gen': 8.501708269119263, 'robust_fit': 34.95661449432373, 'threshold_eval': 0.2487187385559082}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",2
wifi,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,coarse,94,True,none,True,True,True,0.0014785608674223755,0.001,0.99,0.9970609231402462,0.9944751381215471,0.1103679566892647,0.42666672881321743,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 78.16840243339539, 'warm_fit': 34.720410108566284, 'attack_gen': 8.483154773712158, 'robust_fit': 34.69879865646362, 'threshold_eval': 0.24169039726257324}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",3
wifi,catboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,71,True,none,True,True,True,0.001971414489896501,0.001,0.99,0.9970996598048864,0.9944751381215471,0.1103679618174933,0.3733333986596694,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 78.27359557151794, 'warm_fit': 34.65028738975525, 'attack_gen': 8.495469093322754, 'robust_fit': 34.85371494293213, 'threshold_eval': 0.24886035919189453}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",4
wifi,catboost,A,fpr_priority,strict_flip_only_low_weight,42,coarse,0,False,fpr_only,True,False,True,0.0049285362247412515,0.008,0.99,0.9961251287332646,0.990990990990991,0.10702347348339503,0.06666670349797837,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,414,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 414, 'after_rows': 414, 'capped': False, 'max_allowed_rows': 414}","{'total': 78.23964071273804, 'warm_fit': 34.67954230308533, 'attack_gen': 8.48699688911438, 'robust_fit': 34.80269908905029, 'threshold_eval': 0.24473881721496582}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",5
wifi,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,0,False,fpr_only,False,False,True,0.011828486939379004,0.017,0.99,0.9969133817760916,0.9865470852017938,0.30101734166851735,0.16338009245654878,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 12.070347785949707, 'warm_fit': 1.7549824714660645, 'attack_gen': 8.392460107803345, 'robust_fit': 1.7535591125488281, 'threshold_eval': 0.14721179008483887}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",6
wifi,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,coarse,0,False,fpr_only,False,False,True,0.016264169541646133,0.024,0.99,0.9969459857393608,0.9831181727904666,0.30101734166851735,0.14005719054082874,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 12.24714732170105, 'warm_fit': 1.7201292514801025, 'attack_gen': 8.370222091674805, 'robust_fit': 1.9350008964538574, 'threshold_eval': 0.20018815994262695}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",7
wifi,xgboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,0,False,fpr_only,False,False,True,0.016264169541646133,0.025,0.99,0.996978230400288,0.9826302729528535,0.30101734166851735,0.14338286819610707,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 12.502904176712036, 'warm_fit': 1.6384735107421875, 'attack_gen': 8.361511945724487, 'robust_fit': 2.220088481903076, 'threshold_eval': 0.14731311798095703}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",8
wifi,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,coarse,0,False,fpr_only,False,False,True,0.016264169541646133,0.028,0.99,0.99727478403949,0.9811694747274529,0.30101734166851735,0.1567144780900344,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,414,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 414, 'after_rows': 414, 'capped': False, 'max_allowed_rows': 414}","{'total': 12.379430532455444, 'warm_fit': 2.0661113262176514, 'attack_gen': 8.349412202835083, 'robust_fit': 1.7939419746398926, 'threshold_eval': 0.14313220977783203}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",9
wifi,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,coarse,0,False,fpr_only,False,False,True,0.019714144898965006,0.028,0.99,0.9971396800298244,0.9811694747274529,0.30101734166851735,0.14671823977182308,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,664,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 664, 'after_rows': 664, 'capped': False, 'max_allowed_rows': 664}","{'total': 12.58221960067749, 'warm_fit': 1.7361927032470703, 'attack_gen': 8.392549753189087, 'robust_fit': 2.1258904933929443, 'threshold_eval': 0.3061401844024658}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_wifi_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",10
