protocol,model_name,family_id,family_name,family_description,seed,sampling_seed_used,stability_sampling_mode,stage_name,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,val_benign_count,val_malicious_count,fpr_resolution,strict_fpr_feasible,split_seed_used,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,search_profile,search_train_benign_sample,search_train_malicious_sample,search_val_benign_sample,search_val_malicious_sample,search_query_budget_benign,search_query_budget_malicious,search_query_steps_benign,search_query_steps_malicious,search_query_candidates_benign,search_query_candidates_malicious,search_query_score_batch_benign,search_query_score_batch_malicious,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
bluetooth,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,42,coarse,coarse,294,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03705817710508571,0.7833668926716201,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,1,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 1, 'after_rows': 1, 'capped': False, 'max_allowed_rows': 875}","{'total': 10.696028709411621, 'warm_fit': 1.0458462238311768, 'attack_gen': 8.055332899093628, 'robust_fit': 1.4297199249267578, 'threshold_eval': 0.11484789848327637}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",1
bluetooth,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,42,coarse,coarse,299,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03705817710508571,0.8766710173873677,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 11.077338457107544, 'warm_fit': 1.3134069442749023, 'attack_gen': 8.048330307006836, 'robust_fit': 1.231147289276123, 'threshold_eval': 0.4332413673400879}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",2
bluetooth,xgboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,42,coarse,coarse,298,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03705817710508571,0.8700066675670677,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 11.013388872146606, 'warm_fit': 1.3226394653320312, 'attack_gen': 8.06418752670288, 'robust_fit': 1.2719647884368896, 'threshold_eval': 0.3020443916320801}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",3
bluetooth,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,42,coarse,coarse,299,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03705817710508571,0.8433497046974178,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,251,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 251, 'after_rows': 251, 'capped': False, 'max_allowed_rows': 875}","{'total': 11.164238452911377, 'warm_fit': 1.3135418891906738, 'attack_gen': 8.047332525253296, 'robust_fit': 1.475942850112915, 'threshold_eval': 0.2758979797363281}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",4
bluetooth,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,42,coarse,coarse,298,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03705817710508571,0.8766705960155134,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 11.25128436088562, 'warm_fit': 1.2648484706878662, 'attack_gen': 8.061124801635742, 'robust_fit': 1.4675307273864746, 'threshold_eval': 0.40607404708862305}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",5
bluetooth,catboost,A,fpr_priority,strict_flip_only_low_weight,42,42,coarse,coarse,236,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.0301016959414575,0.8866666833839449,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,1,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 1, 'after_rows': 1, 'capped': False, 'max_allowed_rows': 875}","{'total': 94.93759989738464, 'warm_fit': 42.60043478012085, 'attack_gen': 8.171177387237549, 'robust_fit': 43.91612124443054, 'threshold_eval': 0.19504117965698242}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",6
bluetooth,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,42,coarse,coarse,300,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.03010167898359827,0.7633333073018413,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 89.16276741027832, 'warm_fit': 42.11914396286011, 'attack_gen': 8.136398077011108, 'robust_fit': 38.61561131477356, 'threshold_eval': 0.19346356391906738}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",7
bluetooth,catboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,42,coarse,coarse,300,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.030101675800482612,0.7766668825178749,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 93.7832100391388, 'warm_fit': 42.36610722541809, 'attack_gen': 8.10779356956482, 'robust_fit': 43.05664777755737, 'threshold_eval': 0.19662189483642578}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",8
bluetooth,catboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,42,coarse,coarse,300,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.030101675800396407,0.9333333508653061,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,251,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 251, 'after_rows': 251, 'capped': False, 'max_allowed_rows': 875}","{'total': 93.35465502738953, 'warm_fit': 42.342442989349365, 'attack_gen': 8.120652437210083, 'robust_fit': 42.5677535533905, 'threshold_eval': 0.1948096752166748}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",9
bluetooth,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,42,coarse,coarse,300,True,none,True,True,True,0.0,0.0,1.0,1.0,1.0,0.030101675800359922,0.8400000231133936,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:bluetooth_base,fixed_xgb:bluetooth_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,501,2500,"{'enabled': True, 'protocol': 'bluetooth', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 501, 'after_rows': 501, 'capped': False, 'max_allowed_rows': 875}","{'total': 92.85671138763428, 'warm_fit': 42.506720542907715, 'attack_gen': 8.089774131774902, 'robust_fit': 42.0095112323761, 'threshold_eval': 0.1957259178161621}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_bluetooth_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",10
