split,epsilon,source_relpath,source_row_index,baseline_margin,adv_margin,queries_used,l0,l2,linf
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,27614,-0.22610053117493203,0.742044182431679,32,1,7744928.0,7744928.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,81335,-0.22610039601435108,0.7698052963811858,32,2,14979584.00000011,14979584.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,28636,-0.22610057614474474,0.7453768365894672,32,1,12955584.0,12955584.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,48290,-0.226100462211968,0.7706726438113862,32,2,15545600.000000134,15545600.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,202,-0.22609982824310373,0.7735214200762942,32,4,14492448.00000474,14492448.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,147802,-0.2260995437144024,0.773671663475401,32,4,10581792.000202645,10581792.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,94931,-0.22597620508947175,0.5707656747354275,96,8,20.333155604331086,14.378021240234375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,32046,-0.22609977904964068,0.7735446870291645,32,1,15088624.0,15088624.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,48130,-0.22517400569791343,0.16893764427423663,64,6,40.88830315250748,40.021209716796875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Ecobee_Camera_LAN_WATCH.pcap.csv,348,-0.22603071334693364,0.7735488594551392,32,1,9095728.0,9095728.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,70426,-0.22608971035195913,0.059843045129535755,96,5,15.5457791437685,13.725555419921875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,76679,-0.22609751115749266,0.7737771292232676,32,4,11790544.000008695,11790544.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,128434,-0.22610056731314718,0.7592313550673092,32,3,8218784.00743053,8218784.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,2962,-0.2261004879275594,0.7661998079147463,32,3,10209838.029715609,10209808.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,100893,-0.2260995796575595,0.773738512339937,64,4,15906288.000002526,15906288.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,114343,-0.22609780151503314,0.44348318537248255,128,10,66.93321268780583,51.072845458984375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,67553,-0.22609948584320474,0.7738023381992828,32,2,11204464.000002576,11204464.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,92981,-0.22590680166248567,0.03324646722962926,96,7,10364.515045569884,10362.9921875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,63997,-0.2260989999894027,0.1472983923628267,128,10,125.83725018034272,123.5849609375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,42814,-0.2260903536931477,0.7729921252837829,32,4,7260288.00339977,7260288.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,10280,-0.22609820116459384,0.7678924657349754,32,1,7006224.0,7006224.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,99564,-0.2260992708059607,0.7728038852896846,32,1,7945664.0,7945664.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,4196,-0.2261005701425081,0.7577404323208919,32,2,16344480.00000783,16344480.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,59435,-0.22604719011262467,0.7062576329093314,96,8,67.78177613102673,47.594696044921875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,87192,-0.2245838223069272,0.32433752141114225,64,6,38.68320884588289,37.747344970703125
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,51119,-0.2260986934806585,0.11377252394786996,160,10,38.708476767112145,34.434814453125
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,113639,-0.2260713413740996,0.6389951774857437,96,7,62.50146210268239,61.50518798828125
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,56480,-0.22609345269931144,0.24926778282565032,96,10,37309.07566568207,37308.0625
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,150709,-0.22610029180012067,0.7708599240896584,32,2,15661344.375013921,15661344.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,29478,-0.22610051996282254,0.7701329440665292,64,5,12790976.000044124,12790976.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,24532,-0.22596680551676848,0.7681701985433862,32,2,7759824.003046394,7759824.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,116642,-0.22610056775066661,0.7603775434102963,64,3,8660480.00000022,8660480.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,11553,-0.22254473759444487,0.22778510391785517,64,7,13.177692968035707,11.8370361328125
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,17933,-0.22610049061623247,0.7696910361059439,64,5,8079664.002681588,8079664.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,133025,-0.2261005416769628,0.7347521968611384,96,5,15996651.109340433,15996640.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,93050,-0.2261004322240478,0.7665411297685892,32,4,10134960.000453029,10134960.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,104788,-0.22608304987713507,0.5818907266467642,96,7,90.0631817867765,89.77923583984375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,55657,-0.22610020516744786,0.7708681912961958,96,7,12955408.000062488,12955408.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,23437,-0.22597158809400425,0.6978386631294029,64,4,14.039005776640947,13.884170532226562
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,31547,-0.22532993482537853,0.6484595347338429,64,5,83.7618152742711,83.760009765625
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,68752,-0.2259545797771839,0.2832889820188812,64,4,61.76819498212611,59.9683837890625
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,99789,-0.2260971867247652,0.3346059730770192,128,10,69.82142197197051,66.15756225585938
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,25499,-0.22609940159152042,0.7725226549714413,64,6,15105280.000019955,15105280.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,131148,-0.22588124370507728,0.015668864266572796,32,3,128.4796501123404,128.4788818359375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,49487,-0.2260999195580749,0.7691470068954788,32,4,13207824.00370752,13207824.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,124607,-0.22609497651637775,0.3438726377497582,128,6,71.30614277819255,69.52581787109375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,134477,-0.22610032391742482,0.7707428438085914,64,4,8917008.000663625,8917008.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,34575,-0.22609995909937988,0.7736570374566007,64,4,13443616.207589345,13443616.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,131075,-0.22610021762942709,0.771781946079394,32,1,6721632.0,6721632.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,139225,-0.22606486695238395,0.43940299092688295,64,5,0.48211600841454266,0.399993896484375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,184659,-0.2260842743903001,0.18212208794030021,96,8,20809.635828739054,20809.4609375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,68466,-0.22607606537860592,0.7729797566180456,64,4,6898848.000122721,6898848.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,127104,-0.2261005893562471,0.6167105171537005,32,3,16065808.000003025,16065808.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,54378,-0.2260420728444105,0.2900991575170263,96,8,35072.570477744135,35072.5625
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,125157,-0.22609317932974615,0.2306284859515123,128,9,60.1417734432857,59.183349609375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,100657,-0.226099895977926,0.773759428526632,96,8,12936176.000008129,12936176.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,3336,-0.22610057027260375,0.7314535207168483,32,4,6589904.000023262,6589904.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,157902,-0.22609919380667048,0.023811115899137064,96,6,15.440068544767463,14.553558349609375
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,49333,-0.22609904251963686,0.1757381558606287,160,12,2315.967406549791,2289.01171875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,32987,-0.22591941161977602,0.058652886324606135,64,4,116.41368445616881,112.28717041015625
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,178142,-0.22610058678528025,0.7407898410660023,96,5,7208800.000031082,7208800.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,55634,-0.22609322455512904,0.4118123875046922,96,8,19.70769831726291,16.46795654296875
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/profiling/CSV/Active.pcap.csv,412,-0.22610000383118825,0.7699050042435357,32,3,14732144.000002202,14732144.0
train_wifi_catboost_recall_priority_control,0.1,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,15905,-0.22609997038856144,0.7736777743086366,64,5,7333680.000748044,7333680.0
