split,epsilon,source_relpath,source_row_index,baseline_margin,adv_margin,queries_used,l0,l2,linf
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,1,-0.22534039639867842,0.4866050183773041,9,2,2896096.0023031435,2896096.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,5,-0.22265517432242632,0.06672465801239014,24,7,36.797978781879046,35.326812744140625
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,14,-0.22595572120917495,0.7723836004734039,32,6,5009296.000003805,5009296.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,62,-0.22594060639676172,0.7554182708263397,8,4,2415680.044423274,2415680.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,81,-0.22245620703324676,0.09983795881271362,24,7,16.515399158866032,13.534191131591797
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,85,-0.22065614210441709,0.06939741969108582,37,5,2.5193890421802028,2.4718503952026367
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,103,-0.22065614210441709,0.048879802227020264,13,2,0.018193053082897048,0.01819305308163166
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,124,-0.2260194898553891,0.7711673676967621,16,9,4019872.2536991765,4019872.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,136,-0.2259671281062765,0.772404283285141,16,2,2191072.0,2191072.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,137,-0.22065614210441709,0.2521665096282959,33,11,19.402558930597163,15.279998779296875
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,143,-0.22245620703324676,0.05373010039329529,64,7,1427.9820721189676,1427.97119140625
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,175,-0.22065614210441709,0.048879802227020264,4,1,0.014301286078989506,0.014301286078989506
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,182,-0.22594422023394145,0.7545452415943146,8,4,4989024.005344697,4989024.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,190,-0.22601877035776852,0.7714283764362335,40,6,2415840.0000005118,2415840.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,213,-0.2236513365060091,0.04252919554710388,8,6,65.19067072287402,63.51300048828125
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,214,-0.22596000111661851,0.7712282836437225,16,7,3795120.002222959,3795120.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,224,-0.22595592592551839,0.7530116736888885,8,3,3414560.000000008,3414560.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,231,-0.22065614210441709,0.048879802227020264,9,3,23.751157674973868,23.751144409179688
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,274,-0.22594283310172614,0.7547121345996857,4,2,2923680.000074638,2923680.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,305,-0.22378443321213126,0.07192936539649963,116,9,22.752331704135734,18.406356811523438
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,310,-0.22595592592551839,0.772381454706192,28,6,3270848.871722328,3270848.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,327,-0.22065614210441709,0.048879802227020264,9,4,27.628755787249606,27.628387451171875
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,328,-0.22594422023394145,0.7724606096744537,32,7,4806752.003839973,4806752.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,329,-0.22065614210441709,0.05373010039329529,49,11,3078.387399060871,3077.986328125
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,344,-0.22598961993935518,0.771559327840805,72,8,2773936.000030425,2773936.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,352,-0.22597061851411127,0.7724728286266327,76,11,3923152.000136229,3923152.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,358,-0.22594422023394145,0.7724949419498444,36,5,2443280.067331354,2443280.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,407,-0.2225300541613251,0.04312583804130554,21,4,1053.4038488827184,1053.40380859375
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,408,-0.22595312955672853,0.7653238475322723,20,5,3694672.1255100607,3694672.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,415,-0.22124927351251245,0.02637729048728943,4,2,14.842916692709752,14.8428955078125
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,418,-0.22600432859326247,0.7715595662593842,76,8,3793072.001992726,3793072.0
train,0.03,WiFI_and_MQTT/attacks/csv/train/Benign_train.pcap.csv,423,-0.22245620703324676,0.048879802227020264,8,5,2.593370762346136,2.5863819122314453
