protocol_hint,feature,lower_bound,upper_bound,is_locked,lock_reason,sample_rows,sample_min,sample_max,sample_p_low,sample_p_high,sample_unique_count
wifi,Header_Length,0.0,1935700.7725000058,0,,200000,0.0,9870625.0,0.0,1935700.7725000058,64379
wifi,Protocol Type,1.0,17.0,1,semantic,200000,0.0,17.0,1.0,17.0,476
wifi,Duration,53.900001525878906,105.5,0,,200000,0.0,255.0,53.900001525878906,105.5,1652
wifi,Rate,0.0,182361.046875,0,,200000,0.0,2097152.0,0.0,182361.046875,149468
wifi,Srate,0.0,182361.046875,0,,200000,0.0,2097152.0,0.0,182361.046875,149468
wifi,Drate,0.0,0.0,1,auto_low_cardinality,200000,0.0,0.0,0.0,0.0,1
wifi,fin_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.5,0.0,0.0,7
wifi,syn_flag_number,0.0,1.0,1,semantic,200000,0.0,1.0,0.0,1.0,108
wifi,rst_flag_number,0.0,0.7599999904632568,1,semantic,200000,0.0,1.0,0.0,0.7599999904632568,107
wifi,psh_flag_number,0.0,0.5,1,semantic,200000,0.0,1.0,0.0,0.5,61
wifi,ack_flag_number,0.0,1.0,1,semantic,200000,0.0,1.0,0.0,1.0,110
wifi,ece_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,cwr_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,ack_count,0.0,0.0,0,,200000,0.0,5.400000095367432,0.0,0.0,34
wifi,syn_count,0.0,2.0,0,,200000,0.0,7.699999809265137,0.0,2.0,250
wifi,fin_count,0.0,1.0,0,,200000,0.0,5.599999904632568,0.0,1.0,123
wifi,rst_count,0.0,3964.60009765625,0,,200000,0.0,20508.30078125,0.0,3964.60009765625,10554
wifi,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,1.0,0.0,0.0,17
wifi,HTTPS,0.0,0.6000000238418579,1,semantic,200000,0.0,1.0,0.0,0.6000000238418579,96
wifi,DNS,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.5,0.0,0.0,16
wifi,Telnet,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,SMTP,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,SSH,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,IRC,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.10000000149011612,0.0,0.0,3
wifi,TCP,0.0,1.0,1,semantic,200000,0.0,1.0,0.0,1.0,97
wifi,UDP,0.0,1.0,1,semantic,200000,0.0,1.0,0.0,1.0,98
wifi,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.5600000023841858,0.0,0.0,6
wifi,ARP,0.0,0.0,1,semantic,200000,0.0,1.0,0.0,0.0,33
wifi,ICMP,0.0,1.0,1,semantic,200000,0.0,1.0,0.0,1.0,105
wifi,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,200000,0.0,0.20000000298023224,0.0,0.0,5
wifi,IPv,1.0,1.0,1,semantic,200000,0.0,1.0,1.0,1.0,33
wifi,LLC,1.0,1.0,1,semantic,200000,0.0,1.0,1.0,1.0,33
wifi,Tot sum,367.39799407958986,5798.305605468755,0,,200000,42.0,44925.3984375,367.39799407958986,5798.305605468755,17245
wifi,Min,42.0,154.1999969482422,0,,200000,42.0,1948.4000244140625,42.0,154.1999969482422,2448
wifi,Max,42.0,1252.0,0,,200000,42.0,7206.0,42.0,1252.0,8462
wifi,AVG,42.0,596.4812005615256,0,,200000,42.0,3055.085693359375,42.0,596.4812005615256,27866
wifi,Std,0.0,327.82169952392604,0,,200000,0.0,1425.993408203125,0.0,327.82169952392604,26595
wifi,Tot size,42.0,588.4030242919949,0,,200000,42.0,2962.0,42.0,588.4030242919949,6688
wifi,IAT,0.0001064062089426443,170006992.16,0,,200000,0.0,170117936.0,0.0001064062089426443,170006992.16,6283
wifi,Number,5.5,13.5,0,,200000,1.0,14.5,5.5,13.5,74
wifi,Magnitue,9.165151596069336,33.44032669067383,0,,200000,9.165151596069336,78.12103271484375,9.165151596069336,33.44032669067383,27557
wifi,Radius,0.0,463.7676651000979,0,,200000,0.0,2020.930419921875,0.0,463.7676651000979,25803
wifi,Covariance,0.0,129999.1292968757,0,,200000,0.0,2477685.5,0.0,129999.1292968757,25839
wifi,Variance,0.0,1.0,0,,200000,0.0,1.0,0.0,1.0,113
wifi,Weight,38.5,244.60000610351562,0,,200000,1.0,244.60000610351562,38.5,244.60000610351562,74
