feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
1,0.5192248250823468,0.0,242,xgboost,0.7598366163188135,"{""colsample_bytree"": 0.7610842781222339, ""gamma"": 0.010028859097904918, ""learning_rate"": 0.03743787253142941, ""max_bin"": 256, ""max_depth"": 11, ""min_child_weight"": 11.858165795746787, ""n_estimators"": 2796, ""reg_alpha"": 4.348384278587397, ""reg_lambda"": 36.173948464001214, ""subsample"": 0.80247493732627}",bluetooth,coarse,ok,0.9911856055259705,1,0.7736228878179711,0.006214585998903308,0.9671917697975116,0.9893899204244032,0.6351161858974359
1,0.1049845120869577,0.0,4,xgboost,1.0006363201830881,"{""colsample_bytree"": 0.6813227776370653, ""gamma"": 0.006225988370029791, ""learning_rate"": 0.02265522275783128, ""max_bin"": 384, ""max_depth"": 9, ""min_child_weight"": 23.526061207326638, ""n_estimators"": 1944, ""reg_alpha"": 0.002078544783808974, ""reg_lambda"": 3.5524315809865, ""subsample"": 0.7321357212335923}",bluetooth,coarse,ok,0.5532691478729248,2,0.9515083094856783,0.0,0.9825602139481937,1.0,0.9075020032051282
1,0.4138768999837339,0.0,67,xgboost,0.9888238790257047,"{""colsample_bytree"": 0.6941071952324397, ""gamma"": 0.7268938344623582, ""learning_rate"": 0.1367448889704411, ""max_bin"": 256, ""max_depth"": 9, ""min_child_weight"": 3.4290051491309113, ""n_estimators"": 2348, ""reg_alpha"": 0.4149332020551766, ""reg_lambda"": 35.39767102104762, ""subsample"": 0.8294250475490873}",bluetooth,coarse,ok,0.9929643869400024,3,0.986185124384392,0.004706634984463535,0.9941020897189584,0.9947521271717532,0.9777644230769231
1,0.1634575359057635,0.0,109,xgboost,0.04405453402109493,"{""colsample_bytree"": 0.7918993275385496, ""gamma"": 0.6279405689216259, ""learning_rate"": 0.014068007016058015, ""max_bin"": 384, ""max_depth"": 7, ""min_child_weight"": 17.956854594851606, ""n_estimators"": 3171, ""reg_alpha"": 0.004153333681271797, ""reg_lambda"": 1.9444152376031714, ""subsample"": 0.9951766326378078}",bluetooth,coarse,ok,inf,4,0.0,0.0,0.8810906804218985,0.0,0.0
1,0.12396294018253684,0.0,69,xgboost,1.0139766357105626,"{""colsample_bytree"": 0.6606996716578658, ""gamma"": 0.00040738810355855914, ""learning_rate"": 0.09936348066207762, ""max_bin"": 512, ""max_depth"": 7, ""min_child_weight"": 20.973845538826968, ""n_estimators"": 1623, ""reg_alpha"": 0.2792164952379008, ""reg_lambda"": 28.10845870342479, ""subsample"": 0.8030708025824881}",bluetooth,coarse,ok,0.9835334420204163,5,0.9645301804604853,0.0,0.9889291050015476,1.0,0.9314903846153846
1,0.10888572386465967,0.0,4,xgboost,1.032818177083597,"{""colsample_bytree"": 0.7034450637493558, ""gamma"": 0.03690527565620921, ""learning_rate"": 0.013332032093694926, ""max_bin"": 512, ""max_depth"": 10, ""min_child_weight"": 3.9403169553395445, ""n_estimators"": 1607, ""reg_alpha"": 0.35759458631152413, ""reg_lambda"": 41.03454619869026, ""subsample"": 0.7914551988367617}",bluetooth,coarse,ok,0.5285748839378357,6,0.9906051116274371,0.0007311277645768598,0.9904868620385677,0.9991848379865498,0.9821714743589743
1,0.18056965083815157,0.0,160,xgboost,0.9311238155569237,"{""colsample_bytree"": 0.8389189016770762, ""gamma"": 0.0002179873918350765, ""learning_rate"": 0.08564369902065005, ""max_bin"": 256, ""max_depth"": 12, ""min_child_weight"": 3.414634489165878, ""n_estimators"": 2397, ""reg_alpha"": 0.00016580262824257447, ""reg_lambda"": 0.09425862027228944, ""subsample"": 0.9060704570377807}",bluetooth,coarse,ok,0.9982506632804871,7,0.9279380341880342,0.004615244013891427,0.9867644301560754,0.9942193223443223,0.869941907051282
1,0.4240401741117239,0.0,312,xgboost,1.003120918323844,"{""colsample_bytree"": 0.7722687296654585, ""gamma"": 0.00025071850534492463, ""learning_rate"": 0.030206426772522568, ""max_bin"": 384, ""max_depth"": 5, ""min_child_weight"": 1.9315450533000353, ""n_estimators"": 1414, ""reg_alpha"": 5.332912292903469, ""reg_lambda"": 0.15825048927645635, ""subsample"": 0.766991060596341}",bluetooth,coarse,ok,0.9925965070724487,8,0.9930965231580269,0.003975507219886675,0.9955893472936787,0.9956208788443147,0.9905849358974359
1,0.30585167999379337,0.0,262,xgboost,1.0079384000379483,"{""colsample_bytree"": 0.8137718513812215, ""gamma"": 0.05704896523438163, ""learning_rate"": 0.01946359470851243, ""max_bin"": 384, ""max_depth"": 6, ""min_child_weight"": 1.6255475821994354, ""n_estimators"": 3037, ""reg_alpha"": 0.0849636609192165, ""reg_lambda"": 0.03285159053838375, ""subsample"": 0.65182961331527}",bluetooth,coarse,ok,0.993995726108551,9,0.9932953318434071,0.0035185523670261377,0.9965718372960507,0.9961218836565097,0.9904847756410257
1,0.1113100671209395,0.0,35,xgboost,1.0442823326621975,"{""colsample_bytree"": 0.8653117709669038, ""gamma"": 1.1642864944910463, ""learning_rate"": 0.14067742536839467, ""max_bin"": 384, ""max_depth"": 6, ""min_child_weight"": 1.4770986798792922, ""n_estimators"": 1812, ""reg_alpha"": 0.0009918370621436034, ""reg_lambda"": 0.005366398926805136, ""subsample"": 0.6558971924264416}",bluetooth,coarse,ok,0.9971861243247986,10,0.9949670340731793,4.5695485286053735e-05,0.9954450688375752,0.9999494183105716,0.9900340544871795
