model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost,Benign,48408,0.0,0.0,0.0,0.12692117005453643,nan,0.0,0,42264,6144,0
xgboost,DDoS,1117096,1.0,0.9999982096435759,0.9999991048209865,0.0,nan,1.0,1117094,0,0,2
xgboost,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
xgboost,Malformed,1747,1.0,0.9227246708643388,0.9598094671033045,0.0,nan,1.0,1612,0,0,135
xgboost,Other,25170,1.0,1.0,1.0,0.0,nan,0.9999999999999999,25170,0,0,0
xgboost,Recon,27676,1.0,0.9770198005492123,0.9883763432999488,0.0,nan,0.9999999999999999,27040,0,0,636
xgboost,Spoofing,1744,1.0,0.7287844036697247,0.8431177446102819,0.0,nan,1.0,1271,0,0,473
catboost,Benign,48408,0.0,0.0,0.0,0.11527020327218641,nan,0.0,0,42828,5580,0
catboost,DDoS,1117096,1.0,1.0,1.0,0.0,nan,0.9999999999999999,1117096,0,0,0
catboost,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
catboost,Malformed,1747,1.0,0.9118488838008014,0.9538922155688623,0.0,nan,1.0,1593,0,0,154
catboost,Other,25170,1.0,0.9999602701628924,0.9999801346868233,0.0,nan,0.9999999999999999,25169,0,0,1
catboost,Recon,27676,1.0,0.9782844341667871,0.9890230315428029,0.0,nan,1.0,27075,0,0,601
catboost,Spoofing,1744,1.0,0.7465596330275229,0.8548916611950098,0.0,nan,1.0,1302,0,0,442
complex_mlp,Benign,48408,0.0,0.0,0.0,0.03282515286729466,nan,0.0,0,46819,1589,0
complex_mlp,DDoS,1117096,1.0,0.9999910482178792,0.9999955240889059,0.0,nan,1.0,1117086,0,0,10
complex_mlp,DoS,428312,1.0,0.9999906610134668,0.9999953304849292,0.0,nan,1.0,428308,0,0,4
complex_mlp,Malformed,1747,1.0,0.5684029765311963,0.7248175182481752,0.0,nan,1.0,993,0,0,754
complex_mlp,Other,25170,1.0,0.9999602701628924,0.9999801346868233,0.0,nan,1.0,25169,0,0,1
complex_mlp,Recon,27676,1.0,0.9449342390518861,0.9716875975328825,0.0,nan,1.0,26152,0,0,1524
complex_mlp,Spoofing,1744,1.0,0.24197247706422018,0.3896583564173592,0.0,nan,1.0,422,0,0,1322
